service,scenario,concurrency,request_no,status,bytes,latency_ms,error
docker,csv-to-json,1,1,200,197,13.214200,
docker,csv-to-json,1,2,200,197,1.859200,
docker,csv-to-json,1,3,200,197,1.537000,
docker,csv-to-json,1,4,200,197,1.306900,
docker,csv-to-json,1,5,200,197,1.169600,
docker,csv-to-json,1,6,200,197,1.220200,
docker,csv-to-json,1,7,200,197,1.117200,
docker,csv-to-json,1,8,200,197,1.192300,
docker,csv-to-json,1,9,200,197,1.198900,
docker,csv-to-json,1,10,200,197,1.086200,
docker,csv-to-json,1,11,200,197,1.175900,
docker,csv-to-json,1,12,200,197,1.198100,
docker,csv-to-json,1,13,200,197,1.289900,
docker,csv-to-json,1,14,200,197,1.196300,
docker,csv-to-json,1,15,200,197,13.158200,
docker,csv-to-json,1,16,200,197,1.174100,
docker,csv-to-json,1,17,200,197,1.188700,
docker,csv-to-json,1,18,200,197,1.301700,
docker,csv-to-json,1,19,200,197,1.116400,
docker,csv-to-json,1,20,200,197,1.078100,
docker,csv-to-json,1,21,200,197,1.086300,
docker,csv-to-json,1,22,200,197,1.099300,
docker,csv-to-json,1,23,200,197,1.259900,
docker,csv-to-json,1,24,200,197,1.149700,
docker,csv-to-json,1,25,200,197,1.125800,
docker,csv-to-json,1,26,200,197,1.055800,
docker,csv-to-json,1,27,200,197,19.000500,
docker,csv-to-json,1,28,200,197,2.227000,
docker,csv-to-json,1,29,200,197,12.515700,
docker,csv-to-json,1,30,200,197,15.273900,
docker,csv-to-json,1,31,200,197,15.502100,
docker,csv-to-json,1,32,200,197,2.138000,
docker,csv-to-json,1,33,200,197,1.339100,
docker,csv-to-json,1,34,200,197,1.220700,
docker,csv-to-json,1,35,200,197,1.150500,
docker,csv-to-json,1,36,200,197,1.211100,
docker,csv-to-json,1,37,200,197,24.342500,
docker,csv-to-json,1,38,200,197,2.294600,
docker,csv-to-json,1,39,200,197,12.494600,
docker,csv-to-json,1,40,200,197,15.587500,
docker,csv-to-json,1,41,200,197,14.585700,
docker,csv-to-json,1,42,200,197,15.258500,
docker,csv-to-json,1,43,200,197,2.462100,
docker,csv-to-json,1,44,200,197,1.888700,
docker,csv-to-json,1,45,200,197,1.409700,
docker,csv-to-json,1,46,200,197,1.287400,
docker,csv-to-json,1,47,200,197,1.201100,
docker,csv-to-json,1,48,200,197,1.051300,
docker,csv-to-json,1,49,200,197,1.142700,
docker,csv-to-json,1,50,200,197,1.051900,
docker,csv-to-json,1,51,200,197,1.097500,
docker,csv-to-json,1,52,200,197,1.124400,
docker,csv-to-json,1,53,200,197,1.183400,
docker,csv-to-json,1,54,200,197,1.081800,
docker,csv-to-json,1,55,200,197,1.140300,
docker,csv-to-json,1,56,200,197,1.216500,
docker,csv-to-json,1,57,200,197,1.068400,
docker,csv-to-json,1,58,200,197,1.143700,
docker,csv-to-json,1,59,200,197,1.195000,
docker,csv-to-json,1,60,200,197,1.091800,
docker,csv-to-json,1,61,200,197,1.031000,
docker,csv-to-json,1,62,200,197,1.091700,
docker,csv-to-json,1,63,200,197,1.120300,
docker,csv-to-json,1,64,200,197,19.227500,
docker,csv-to-json,1,65,200,197,16.479300,
docker,csv-to-json,1,66,200,197,2.297000,
docker,csv-to-json,1,67,200,197,1.300000,
