service,scenario,concurrency,request_no,status,bytes,latency_ms,error
docker,health,1,1,200,22,4.017500,
docker,health,1,2,200,22,2.567300,
docker,health,1,3,200,22,2.218300,
docker,health,1,4,200,22,2.728700,
docker,health,1,5,200,22,2.232000,
docker,health,1,6,200,22,1.415400,
docker,health,1,7,200,22,1.257900,
docker,health,1,8,200,22,19.213800,
docker,health,1,9,200,22,16.447200,
docker,health,1,10,200,22,2.684500,
docker,health,1,11,200,22,27.523700,
docker,health,1,12,200,22,2.291500,
docker,health,1,13,200,22,2.977200,
docker,health,1,14,200,22,2.665700,
docker,health,1,15,200,22,2.415100,
docker,health,1,16,200,22,20.936100,
docker,health,1,17,200,22,2.446600,
docker,health,1,18,200,22,1.776400,
docker,health,1,19,200,22,1.533000,
docker,health,1,20,200,22,22.914300,
docker,health,1,21,200,22,2.233700,
docker,health,1,22,200,22,1.759400,
docker,health,1,23,200,22,1.722500,
docker,health,1,24,200,22,1.919200,
docker,health,1,25,200,22,2.008900,
docker,health,1,26,200,22,1.965700,
docker,health,1,27,200,22,2.683400,
docker,health,1,28,200,22,17.278500,
docker,health,1,29,200,22,3.969600,
docker,health,1,30,200,22,25.862700,
docker,health,1,31,200,22,2.399600,
docker,health,1,32,200,22,1.722600,
docker,health,1,33,200,22,1.395100,
docker,health,1,34,200,22,1.620200,
docker,health,1,35,200,22,1.867200,
docker,health,1,36,200,22,1.765700,
docker,health,1,37,200,22,1.663700,
docker,health,1,38,200,22,2.379400,
docker,health,1,39,200,22,1.902900,
docker,health,1,40,200,22,1.382000,
docker,health,1,41,200,22,12.884000,
docker,health,1,42,200,22,14.026800,
docker,health,1,43,200,22,2.441400,
docker,health,1,44,200,22,13.248200,
docker,health,1,45,200,22,2.138900,
docker,health,1,46,200,22,1.604300,
docker,health,1,47,200,22,1.378600,
docker,health,1,48,200,22,1.251200,
docker,health,1,49,200,22,1.288500,
docker,health,1,50,200,22,1.269400,
docker,health,1,51,200,22,1.634700,
docker,health,1,52,200,22,1.430900,
docker,health,1,53,200,22,1.460000,
docker,health,1,54,200,22,1.655900,
docker,health,1,55,200,22,16.283200,
docker,health,1,56,200,22,14.300700,
docker,health,1,57,200,22,2.018500,
docker,health,1,58,200,22,1.798500,
docker,health,1,59,200,22,1.785800,
docker,health,1,60,200,22,25.725900,
docker,health,1,61,200,22,2.911800,
docker,health,1,62,200,22,2.885400,
docker,health,1,63,200,22,3.967300,
docker,health,1,64,200,22,3.441100,
docker,health,1,65,200,22,17.889700,
docker,health,1,66,200,22,2.139200,
docker,health,1,67,200,22,2.181700,
docker,health,1,68,200,22,27.086800,
docker,health,1,69,200,22,13.821100,
docker,health,1,70,200,22,2.048500,
docker,health,1,71,200,22,1.747000,
docker,health,1,72,200,22,26.915100,
docker,health,1,73,200,22,2.284600,
docker,health,1,74,200,22,1.766900,
docker,health,1,75,200,22,1.176500,
docker,health,1,76,200,22,1.208900,
docker,health,1,77,200,22,1.088200,
docker,health,1,78,200,22,1.364100,
docker,health,1,79,200,22,1.136300,
docker,health,1,80,200,22,20.116300,
docker,health,1,81,200,22,16.014400,
docker,health,1,82,200,22,2.115600,
docker,health,1,83,200,22,12.372500,
docker,health,1,84,200,22,1.338900,
docker,health,1,85,200,22,14.973700,
docker,health,1,86,200,22,1.877700,
docker,health,1,87,200,22,1.172400,
docker,health,1,88,200,22,11.819200,
docker,health,1,89,200,22,1.716000,
docker,health,1,90,200,22,14.361200,
docker,health,1,91,200,22,1.435000,
docker,health,1,92,200,22,1.212800,
docker,health,1,93,200,22,12.358500,
docker,health,1,94,200,22,1.751600,
docker,health,1,95,200,22,1.524000,
docker,health,1,96,200,22,1.524400,
docker,health,1,97,200,22,1.444400,
docker,health,1,98,200,22,1.381800,
docker,health,1,99,200,22,24.445900,
docker,health,1,100,200,22,2.441700,
docker,health,5,1,200,22,2.943900,
docker,health,5,2,200,22,2.876300,
docker,health,5,3,200,22,3.463000,
docker,health,5,4,200,22,3.263000,
docker,health,5,5,200,22,4.690800,
docker,health,5,6,200,22,2.357000,
docker,health,5,7,200,22,2.590300,
docker,health,5,8,200,22,3.239700,
docker,health,5,9,200,22,2.816300,
docker,health,5,10,200,22,2.447600,
docker,health,5,11,200,22,2.456100,
docker,health,5,12,200,22,3.176100,
docker,health,5,13,200,22,2.531400,
docker,health,5,14,200,22,2.892700,
docker,health,5,15,200,22,5.168300,
docker,health,5,16,200,22,3.494000,
docker,health,5,17,200,22,3.064800,
docker,health,5,18,200,22,3.212500,
docker,health,5,19,200,22,3.523600,
docker,health,5,20,200,22,1.818800,
docker,health,5,21,200,22,2.053600,
docker,health,5,22,200,22,1.686400,
docker,health,5,23,200,22,1.785800,
docker,health,5,24,200,22,1.961900,
docker,health,5,25,200,22,1.752500,
docker,health,5,26,200,22,1.950900,
docker,health,5,27,200,22,1.490400,
docker,health,5,28,200,22,1.413200,
docker,health,5,29,200,22,2.271300,
docker,health,5,30,200,22,1.892100,
docker,health,5,31,200,22,1.713700,
docker,health,5,32,200,22,1.533100,
docker,health,5,33,200,22,1.556700,
docker,health,5,34,200,22,2.317300,
docker,health,5,35,200,22,2.193800,
docker,health,5,36,200,22,1.970600,
docker,health,5,37,200,22,1.388800,
docker,health,5,38,200,22,1.473200,
docker,health,5,39,200,22,1.648000,
docker,health,5,40,200,22,2.355200,
docker,health,5,41,200,22,12.715600,
docker,health,5,42,200,22,2.069000,
docker,health,5,43,200,22,2.050200,
docker,health,5,44,200,22,2.096400,
docker,health,5,45,200,22,2.054700,
docker,health,5,46,200,22,1.726500,
docker,health,5,47,200,22,2.293500,
docker,health,5,48,200,22,1.942600,
docker,health,5,49,200,22,1.875700,
docker,health,5,50,200,22,1.902200,
docker,health,5,51,200,22,1.765800,
docker,health,5,52,200,22,1.722400,
docker,health,5,53,200,22,1.634800,
docker,health,5,54,200,22,3.684300,
docker,health,5,55,200,22,3.975900,
docker,health,5,56,200,22,3.896100,
docker,health,5,57,200,22,1.963700,
docker,health,5,58,200,22,1.619900,
docker,health,5,59,200,22,2.029500,
docker,health,5,60,200,22,1.867900,
docker,health,5,61,200,22,25.584300,
docker,health,5,62,200,22,22.867900,
docker,health,5,63,200,22,1.648800,
docker,health,5,64,200,22,2.014900,
docker,health,5,65,200,22,1.834500,
