service,scenario,concurrency,request_no,status,bytes,latency_ms,error
docker,image-resize,1,1,200,22304,28.885300,
docker,image-resize,1,2,200,22304,32.905700,
docker,image-resize,1,3,200,22304,29.841400,
docker,image-resize,1,4,200,22304,31.366300,
docker,image-resize,1,5,200,22304,8.346900,
docker,image-resize,1,6,200,22304,21.686800,
docker,image-resize,1,7,200,22304,7.293000,
docker,image-resize,1,8,200,22304,23.662700,
docker,image-resize,1,9,200,22304,32.884300,
docker,image-resize,1,10,200,22304,8.802000,
docker,image-resize,1,11,200,22304,20.971300,
docker,image-resize,1,12,200,22304,6.801800,
docker,image-resize,1,13,200,22304,24.584500,
docker,image-resize,1,14,200,22304,31.175200,
docker,image-resize,1,15,200,22304,30.875900,
docker,image-resize,1,16,200,22304,7.138300,
docker,image-resize,1,17,200,22304,22.662300,
docker,image-resize,1,18,200,22304,6.581600,
docker,image-resize,1,19,200,22304,7.011600,
docker,image-resize,1,20,200,22304,16.818300,
docker,image-resize,1,21,200,22304,31.328000,
docker,image-resize,1,22,200,22304,32.923700,
docker,image-resize,1,23,200,22304,30.106500,
docker,image-resize,1,24,200,22304,30.411600,
docker,image-resize,1,25,200,22304,31.914800,
docker,image-resize,1,26,200,22304,6.791700,
docker,image-resize,1,27,200,22304,23.568600,
docker,image-resize,1,28,200,22304,32.717800,
docker,image-resize,1,29,200,22304,30.366200,
docker,image-resize,1,30,200,22304,31.448100,
docker,image-resize,1,31,200,22304,32.049300,
docker,image-resize,1,32,200,22304,29.604300,
docker,image-resize,1,33,200,22304,31.357400,
docker,image-resize,1,34,200,22304,29.816700,
docker,image-resize,1,35,200,22304,30.812400,
docker,image-resize,1,36,200,22304,7.405900,
docker,image-resize,1,37,200,22304,24.520500,
docker,image-resize,1,38,200,22304,8.586400,
docker,image-resize,1,39,200,22304,8.113700,
docker,image-resize,1,40,200,22304,6.277900,
docker,image-resize,1,41,200,22304,21.666500,
docker,image-resize,1,42,200,22304,7.254400,
docker,image-resize,1,43,200,22304,7.971000,
docker,image-resize,1,44,200,22304,30.965700,
docker,image-resize,1,45,200,22304,31.018600,
docker,image-resize,1,46,200,22304,30.153000,
docker,image-resize,1,47,200,22304,32.314200,
docker,image-resize,1,48,200,22304,8.730500,
docker,image-resize,1,49,200,22304,21.119100,
docker,image-resize,1,50,200,22304,7.366100,
docker,image-resize,1,51,200,22304,24.080200,
docker,image-resize,1,52,200,22304,31.014700,
docker,image-resize,1,53,200,22304,30.067900,
docker,image-resize,1,54,200,22304,30.510900,
docker,image-resize,1,55,200,22304,31.805200,
docker,image-resize,1,56,200,22304,29.823000,
docker,image-resize,1,57,200,22304,31.879100,
docker,image-resize,1,58,200,22304,29.685500,
docker,image-resize,1,59,200,22304,31.700800,
docker,image-resize,1,60,200,22304,30.508400,
docker,image-resize,1,61,200,22304,7.675300,
docker,image-resize,1,62,200,22304,23.708300,
docker,image-resize,1,63,200,22304,30.711900,
docker,image-resize,1,64,200,22304,31.218000,
docker,image-resize,1,65,200,22304,8.246500,
docker,image-resize,1,66,200,22304,6.816700,
docker,image-resize,1,67,200,22304,31.639200,
docker,image-resize,1,68,200,22304,30.914200,
docker,image-resize,1,69,200,22304,29.965600,
docker,image-resize,1,70,200,22304,30.683000,
docker,image-resize,1,71,200,22304,31.985800,
docker,image-resize,1,72,200,22304,29.072400,
docker,image-resize,1,73,200,22304,31.552000,
docker,image-resize,1,74,200,22304,29.404700,
docker,image-resize,1,75,200,22304,30.800600,
docker,image-resize,1,76,200,22304,30.840000,
docker,image-resize,1,77,200,22304,29.998600,
docker,image-resize,1,78,200,22304,7.875400,
docker,image-resize,1,79,200,22304,6.783200,
docker,image-resize,1,80,200,22304,30.488500,
docker,image-resize,1,81,200,22304,31.450900,
docker,image-resize,1,82,200,22304,29.167200,
docker,image-resize,1,83,200,22304,30.698300,
docker,image-resize,1,84,200,22304,31.187100,
docker,image-resize,1,85,200,22304,31.974400,
docker,image-resize,1,86,200,22304,7.764900,
docker,image-resize,1,87,200,22304,6.792200,
docker,image-resize,1,88,200,22304,31.471200,
docker,image-resize,1,89,200,22304,7.602100,
docker,image-resize,1,90,200,22304,22.534700,
docker,image-resize,1,91,200,22304,31.587200,
docker,image-resize,1,92,200,22304,30.010800,
docker,image-resize,1,93,200,22304,30.784900,
docker,image-resize,1,94,200,22304,30.066000,
docker,image-resize,1,95,200,22304,7.943000,
docker,image-resize,1,96,200,22304,23.066700,
docker,image-resize,1,97,200,22304,31.191100,
docker,image-resize,1,98,200,22304,30.872600,
docker,image-resize,1,99,200,22304,30.747600,
docker,image-resize,1,100,200,22304,29.698500,
docker,image-resize,5,1,200,22304,10.974900,
docker,image-resize,5,2,200,22304,12.132800,
docker,image-resize,5,3,200,22304,13.936800,
docker,image-resize,5,4,200,22304,13.737700,
docker,image-resize,5,5,200,22304,15.632900,
docker,image-resize,5,6,200,22304,8.306400,
docker,image-resize,5,7,200,22304,8.050700,
docker,image-resize,5,8,200,22304,12.090600,
docker,image-resize,5,9,200,22304,8.496000,
docker,image-resize,5,10,200,22304,9.184900,
docker,image-resize,5,11,200,22304,10.423400,
docker,image-resize,5,12,200,22304,8.162700,
docker,image-resize,5,13,200,22304,10.455800,
docker,image-resize,5,14,200,22304,10.368600,
docker,image-resize,5,15,200,22304,10.440000,
docker,image-resize,5,16,200,22304,8.093500,
docker,image-resize,5,17,200,22304,7.616500,
docker,image-resize,5,18,200,22304,7.641100,
docker,image-resize,5,19,200,22304,7.492500,
docker,image-resize,5,20,200,22304,7.317700,
docker,image-resize,5,21,200,22304,6.710600,
docker,image-resize,5,22,200,22304,6.972500,
docker,image-resize,5,23,200,22304,6.399300,
docker,image-resize,5,24,200,22304,6.083800,
docker,image-resize,5,25,200,22304,7.214200,
docker,image-resize,5,26,200,22304,27.527300,
docker,image-resize,5,27,200,22304,19.843300,
docker,image-resize,5,28,200,22304,8.533300,
docker,image-resize,5,29,200,22304,7.630200,
docker,image-resize,5,30,200,22304,7.648100,
docker,image-resize,5,31,200,22304,7.406900,
docker,image-resize,5,32,200,22304,27.822200,
docker,image-resize,5,33,200,22304,7.415800,
docker,image-resize,5,34,200,22304,9.097300,
docker,image-resize,5,35,200,22304,7.505200,
docker,image-resize,5,36,200,22304,7.478700,
docker,image-resize,5,37,200,22304,6.572700,
docker,image-resize,5,38,200,22304,6.760300,
docker,image-resize,5,39,200,22304,6.847000,
docker,image-resize,5,40,200,22304,29.689900,
docker,image-resize,5,41,200,22304,6.320600,
docker,image-resize,5,42,200,22304,22.196900,
docker,image-resize,5,43,200,22304,22.284500,
docker,image-resize,5,44,200,22304,32.593600,
docker,image-resize,5,45,200,22304,7.635600,
docker,image-resize,5,46,200,22304,6.127100,
docker,image-resize,5,47,200,22304,8.158400,
docker,image-resize,5,48,200,22304,26.256100,
docker,image-resize,5,49,200,22304,32.637700,
docker,image-resize,5,50,200,22304,11.268800,
docker,image-resize,5,51,200,22304,13.061600,
docker,image-resize,5,52,200,22304,13.061900,
docker,image-resize,5,53,200,22304,33.895700,
docker,image-resize,5,54,200,22304,27.114200,
docker,image-resize,5,55,200,22304,8.398100,
docker,image-resize,5,56,200,22304,8.467200,
docker,image-resize,5,57,200,22304,7.721400,
docker,image-resize,5,58,200,22304,7.478000,
docker,image-resize,5,59,200,22304,8.561200,
docker,image-resize,5,60,200,22304,7.058300,
docker,image-resize,5,61,200,22304,17.569000,
docker,image-resize,5,62,200,22304,7.867800,
docker,image-resize,5,63,200,22304,6.936200,
docker,image-resize,5,64,200,22304,6.398400,
docker,image-resize,5,65,200,22304,6.689700,
docker,image-resize,5,66,200,22304,6.613800,
docker,image-resize,5,67,200,22304,6.736500,
docker,image-resize,5,68,200,22304,6.365200,
docker,image-resize,5,69,200,22304,18.237700,
docker,image-resize,5,70,200,22304,6.478300,
