service,scenario,concurrency,request_no,status,bytes,latency_ms,error
docker,validate-json-schema,1,1,200,35,29.895000,
docker,validate-json-schema,1,2,200,35,2.482400,
docker,validate-json-schema,1,3,200,35,26.976600,
docker,validate-json-schema,1,4,200,35,2.258500,
docker,validate-json-schema,1,5,200,35,1.668200,
docker,validate-json-schema,1,6,200,35,1.171900,
docker,validate-json-schema,1,7,200,35,1.164200,
docker,validate-json-schema,1,8,200,35,1.197800,
docker,validate-json-schema,1,9,200,35,1.140100,
docker,validate-json-schema,1,10,200,35,1.176800,
docker,validate-json-schema,1,11,200,35,1.203400,
docker,validate-json-schema,1,12,200,35,1.164700,
docker,validate-json-schema,1,13,200,35,17.380700,
docker,validate-json-schema,1,14,200,35,1.484000,
docker,validate-json-schema,1,15,200,35,13.883200,
docker,validate-json-schema,1,16,200,35,1.823500,
docker,validate-json-schema,1,17,200,35,1.374100,
docker,validate-json-schema,1,18,200,35,1.276800,
docker,validate-json-schema,1,19,200,35,1.279400,
docker,validate-json-schema,1,20,200,35,1.302900,
docker,validate-json-schema,1,21,200,35,23.650400,
docker,validate-json-schema,1,22,200,35,15.132200,
docker,validate-json-schema,1,23,200,35,15.260400,
docker,validate-json-schema,1,24,200,35,2.783000,
docker,validate-json-schema,1,25,200,35,2.081000,
docker,validate-json-schema,1,26,200,35,1.377000,
docker,validate-json-schema,1,27,200,35,1.176700,
docker,validate-json-schema,1,28,200,35,1.110200,
docker,validate-json-schema,1,29,200,35,1.175100,
docker,validate-json-schema,1,30,200,35,20.955200,
docker,validate-json-schema,1,31,200,35,2.353700,
docker,validate-json-schema,1,32,200,35,1.635800,
docker,validate-json-schema,1,33,200,35,1.277300,
docker,validate-json-schema,1,34,200,35,1.128600,
docker,validate-json-schema,1,35,200,35,1.170900,
docker,validate-json-schema,1,36,200,35,1.201100,
docker,validate-json-schema,1,37,200,35,1.276400,
docker,validate-json-schema,1,38,200,35,1.266000,
docker,validate-json-schema,1,39,200,35,1.166300,
docker,validate-json-schema,1,40,200,35,1.144800,
docker,validate-json-schema,1,41,200,35,1.248600,
docker,validate-json-schema,1,42,200,35,1.120600,
docker,validate-json-schema,1,43,200,35,13.360500,
docker,validate-json-schema,1,44,200,35,1.274400,
docker,validate-json-schema,1,45,200,35,1.188200,
docker,validate-json-schema,1,46,200,35,1.168900,
docker,validate-json-schema,1,47,200,35,1.155400,
docker,validate-json-schema,1,48,200,35,1.068500,
docker,validate-json-schema,1,49,200,35,1.199300,
docker,validate-json-schema,1,50,200,35,1.116200,
docker,validate-json-schema,1,51,200,35,25.530700,
docker,validate-json-schema,1,52,200,35,3.635900,
docker,validate-json-schema,1,53,200,35,2.479800,
docker,validate-json-schema,1,54,200,35,2.060700,
docker,validate-json-schema,1,55,200,35,1.633900,
docker,validate-json-schema,1,56,200,35,4.751900,
docker,validate-json-schema,1,57,200,35,1.790200,
docker,validate-json-schema,1,58,200,35,1.705400,
docker,validate-json-schema,1,59,200,35,2.537900,
docker,validate-json-schema,1,60,200,35,22.191200,
docker,validate-json-schema,1,61,200,35,2.106800,
docker,validate-json-schema,1,62,200,35,1.959800,
docker,validate-json-schema,1,63,200,35,1.631800,
docker,validate-json-schema,1,64,200,35,25.094400,
docker,validate-json-schema,1,65,200,35,2.212700,
docker,validate-json-schema,1,66,200,35,1.884000,
docker,validate-json-schema,1,67,200,35,1.491200,
docker,validate-json-schema,1,68,200,35,1.467000,
docker,validate-json-schema,1,69,200,35,1.377200,
docker,validate-json-schema,1,70,200,35,1.237800,
docker,validate-json-schema,1,71,200,35,1.211900,
docker,validate-json-schema,1,72,200,35,1.165100,
docker,validate-json-schema,1,73,200,35,1.377200,
docker,validate-json-schema,1,74,200,35,17.352900,
docker,validate-json-schema,1,75,200,35,2.405800,
docker,validate-json-schema,1,76,200,35,2.030800,
docker,validate-json-schema,1,77,200,35,1.335800,
docker,validate-json-schema,1,78,200,35,1.175300,
docker,validate-json-schema,1,79,200,35,23.449800,
docker,validate-json-schema,1,80,200,35,3.181100,
docker,validate-json-schema,1,81,200,35,2.500800,
docker,validate-json-schema,1,82,200,35,1.775400,
docker,validate-json-schema,1,83,200,35,1.800900,
docker,validate-json-schema,1,84,200,35,1.361800,
docker,validate-json-schema,1,85,200,35,1.269000,
docker,validate-json-schema,1,86,200,35,1.136800,
docker,validate-json-schema,1,87,200,35,1.253600,
docker,validate-json-schema,1,88,200,35,1.137900,
docker,validate-json-schema,1,89,200,35,1.690900,
docker,validate-json-schema,1,90,200,35,1.520300,
docker,validate-json-schema,1,91,200,35,1.126700,
docker,validate-json-schema,1,92,200,35,1.066500,
docker,validate-json-schema,1,93,200,35,1.136100,
docker,validate-json-schema,1,94,200,35,1.121000,
docker,validate-json-schema,1,95,200,35,22.540200,
docker,validate-json-schema,1,96,200,35,14.519600,
docker,validate-json-schema,1,97,200,35,16.186100,
docker,validate-json-schema,1,98,200,35,15.602600,
docker,validate-json-schema,1,99,200,35,15.398100,
docker,validate-json-schema,1,100,200,35,3.388800,
docker,validate-json-schema,5,1,200,35,1.872100,
docker,validate-json-schema,5,2,200,35,2.320800,
docker,validate-json-schema,5,3,200,35,2.162200,
docker,validate-json-schema,5,4,200,35,2.307900,
docker,validate-json-schema,5,5,200,35,1.244500,
docker,validate-json-schema,5,6,200,35,1.537500,
docker,validate-json-schema,5,7,200,35,1.353500,
docker,validate-json-schema,5,8,200,35,1.353200,
docker,validate-json-schema,5,9,200,35,1.173600,
docker,validate-json-schema,5,10,200,35,1.199500,
docker,validate-json-schema,5,11,200,35,1.296300,
docker,validate-json-schema,5,12,200,35,1.182200,
docker,validate-json-schema,5,13,200,35,1.174400,
docker,validate-json-schema,5,14,200,35,1.157300,
docker,validate-json-schema,5,15,200,35,1.202000,
docker,validate-json-schema,5,16,200,35,1.415400,
docker,validate-json-schema,5,17,200,35,1.558600,
docker,validate-json-schema,5,18,200,35,1.435200,
docker,validate-json-schema,5,19,200,35,25.383100,
docker,validate-json-schema,5,20,200,35,24.512800,
docker,validate-json-schema,5,21,200,35,18.739200,
docker,validate-json-schema,5,22,200,35,13.413700,
docker,validate-json-schema,5,23,200,35,28.751500,
docker,validate-json-schema,5,24,200,35,3.570100,
docker,validate-json-schema,5,25,200,35,3.722200,
docker,validate-json-schema,5,26,200,35,3.792600,
docker,validate-json-schema,5,27,200,35,3.780900,
docker,validate-json-schema,5,28,200,35,6.855500,
