service,scenario,concurrency,request_no,status,bytes,latency_ms,error
spin,csv-to-json,1,1,200,197,13.443100,
spin,csv-to-json,1,2,200,197,16.354300,
spin,csv-to-json,1,3,200,197,15.310200,
spin,csv-to-json,1,4,200,197,16.828600,
spin,csv-to-json,1,5,200,197,15.856700,
spin,csv-to-json,1,6,200,197,16.234500,
spin,csv-to-json,1,7,200,197,14.255100,
spin,csv-to-json,1,8,200,197,15.209400,
spin,csv-to-json,1,9,200,197,15.789200,
spin,csv-to-json,1,10,200,197,15.568000,
spin,csv-to-json,1,11,200,197,16.734700,
spin,csv-to-json,1,12,200,197,16.395500,
spin,csv-to-json,1,13,200,197,14.997900,
spin,csv-to-json,1,14,200,197,13.578900,
spin,csv-to-json,1,15,200,197,16.040100,
spin,csv-to-json,1,16,200,197,15.741900,
spin,csv-to-json,1,17,200,197,14.438600,
spin,csv-to-json,1,18,200,197,15.973300,
spin,csv-to-json,1,19,200,197,17.049000,
spin,csv-to-json,1,20,200,197,2.792900,
spin,csv-to-json,1,21,200,197,2.933400,
spin,csv-to-json,1,22,200,197,25.167100,
spin,csv-to-json,1,23,200,197,2.878400,
spin,csv-to-json,1,24,200,197,11.702700,
spin,csv-to-json,1,25,200,197,3.134200,
spin,csv-to-json,1,26,200,197,3.177200,
spin,csv-to-json,1,27,200,197,25.840000,
spin,csv-to-json,1,28,200,197,16.102900,
spin,csv-to-json,1,29,200,197,14.016100,
spin,csv-to-json,1,30,200,197,15.142700,
spin,csv-to-json,1,31,200,197,14.829800,
spin,csv-to-json,1,32,200,197,2.843400,
spin,csv-to-json,1,33,200,197,2.841800,
spin,csv-to-json,1,34,200,197,2.705800,
spin,csv-to-json,1,35,200,197,2.847300,
spin,csv-to-json,1,36,200,197,2.611800,
spin,csv-to-json,1,37,200,197,2.826900,
spin,csv-to-json,1,38,200,197,14.177700,
spin,csv-to-json,1,39,200,197,15.920200,
spin,csv-to-json,1,40,200,197,15.072900,
spin,csv-to-json,1,41,200,197,15.889000,
spin,csv-to-json,1,42,200,197,2.790500,
spin,csv-to-json,1,43,200,197,2.761100,
spin,csv-to-json,1,44,200,197,2.664000,
spin,csv-to-json,1,45,200,197,2.625200,
spin,csv-to-json,1,46,200,197,2.818000,
spin,csv-to-json,1,47,200,197,2.781600,
spin,csv-to-json,1,48,200,197,16.079700,
spin,csv-to-json,1,49,200,197,13.462200,
spin,csv-to-json,1,50,200,197,14.896000,
spin,csv-to-json,1,51,200,197,17.562900,
spin,csv-to-json,1,52,200,197,14.954800,
spin,csv-to-json,1,53,200,197,15.612500,
spin,csv-to-json,1,54,200,197,14.799600,
spin,csv-to-json,1,55,200,197,1.825100,
spin,csv-to-json,1,56,200,197,13.354500,
spin,csv-to-json,1,57,200,197,15.805000,
spin,csv-to-json,1,58,200,197,15.952300,
spin,csv-to-json,1,59,200,197,2.762500,
spin,csv-to-json,1,60,200,197,12.059100,
spin,csv-to-json,1,61,200,197,16.761100,
spin,csv-to-json,1,62,200,197,2.957300,
spin,csv-to-json,1,63,200,197,1.442800,
spin,csv-to-json,1,64,200,197,25.041200,
spin,csv-to-json,1,65,200,197,16.075300,
spin,csv-to-json,1,66,200,197,18.039400,
spin,csv-to-json,1,67,200,197,15.105300,
spin,csv-to-json,1,68,200,197,17.582400,
spin,csv-to-json,1,69,200,197,27.067400,
spin,csv-to-json,1,70,200,197,15.943500,
spin,csv-to-json,1,71,200,197,15.704100,
spin,csv-to-json,1,72,200,197,16.967000,
spin,csv-to-json,1,73,200,197,14.861500,
spin,csv-to-json,1,74,200,197,15.855400,
spin,csv-to-json,1,75,200,197,15.002200,
spin,csv-to-json,1,76,200,197,3.057400,
spin,csv-to-json,1,77,200,197,11.716300,
spin,csv-to-json,1,78,200,197,2.673300,
spin,csv-to-json,1,79,200,197,13.846400,
spin,csv-to-json,1,80,200,197,13.717700,
spin,csv-to-json,1,81,200,197,15.665800,
spin,csv-to-json,1,82,200,197,16.235400,
spin,csv-to-json,1,83,200,197,2.106400,
spin,csv-to-json,1,84,200,197,12.342700,
spin,csv-to-json,1,85,200,197,16.764700,
spin,csv-to-json,1,86,200,197,16.689500,
spin,csv-to-json,1,87,200,197,13.847600,
spin,csv-to-json,1,88,200,197,16.075200,
spin,csv-to-json,1,89,200,197,15.447800,
spin,csv-to-json,1,90,200,197,14.460400,
spin,csv-to-json,1,91,200,197,14.975500,
spin,csv-to-json,1,92,200,197,15.864900,
spin,csv-to-json,1,93,200,197,17.209600,
spin,csv-to-json,1,94,200,197,14.924000,
spin,csv-to-json,1,95,200,197,3.044900,
spin,csv-to-json,1,96,200,197,12.689300,
spin,csv-to-json,1,97,200,197,15.370100,
spin,csv-to-json,1,98,200,197,16.849300,
spin,csv-to-json,1,99,200,197,13.925000,
spin,csv-to-json,1,100,200,197,3.140000,
spin,csv-to-json,5,1,200,197,2.955700,
spin,csv-to-json,5,2,200,197,4.573900,
spin,csv-to-json,5,3,200,197,3.941300,
spin,csv-to-json,5,4,200,197,4.648200,
spin,csv-to-json,5,5,200,197,3.450000,
spin,csv-to-json,5,6,200,197,1.504600,
spin,csv-to-json,5,7,200,197,2.851400,
spin,csv-to-json,5,8,200,197,1.163200,
spin,csv-to-json,5,9,200,197,19.451300,
spin,csv-to-json,5,10,200,197,19.552000,
spin,csv-to-json,5,11,200,197,29.719400,
spin,csv-to-json,5,12,200,197,23.889100,
spin,csv-to-json,5,13,200,197,20.453300,
spin,csv-to-json,5,14,200,197,1.914800,
spin,csv-to-json,5,15,200,197,2.119300,
spin,csv-to-json,5,16,200,197,1.235900,
spin,csv-to-json,5,17,200,197,15.608800,
spin,csv-to-json,5,18,200,197,15.263800,
spin,csv-to-json,5,19,200,197,12.955400,
spin,csv-to-json,5,20,200,197,1.394100,
spin,csv-to-json,5,21,200,197,1.669200,
spin,csv-to-json,5,22,200,197,1.178700,
spin,csv-to-json,5,23,200,197,2.338800,
spin,csv-to-json,5,24,200,197,2.133400,
spin,csv-to-json,5,25,200,197,2.130800,
spin,csv-to-json,5,26,200,197,2.061900,
spin,csv-to-json,5,27,200,197,1.435000,
spin,csv-to-json,5,28,200,197,2.554700,
