service,scenario,concurrency,request_no,status,bytes,latency_ms,error
spin,health,1,1,200,27,14.256900,
spin,health,1,2,200,27,1.373000,
spin,health,1,3,200,27,2.697300,
spin,health,1,4,200,27,1.333300,
spin,health,1,5,200,27,2.328000,
spin,health,1,6,200,27,2.597900,
spin,health,1,7,200,27,20.177000,
spin,health,1,8,200,27,2.054400,
spin,health,1,9,200,27,15.353000,
spin,health,1,10,200,27,14.173800,
spin,health,1,11,200,27,3.021300,
spin,health,1,12,200,27,27.796600,
spin,health,1,13,200,27,14.244300,
spin,health,1,14,200,27,2.883200,
spin,health,1,15,200,27,2.586600,
spin,health,1,16,200,27,2.519400,
spin,health,1,17,200,27,2.584000,
spin,health,1,18,200,27,2.523100,
spin,health,1,19,200,27,2.706700,
spin,health,1,20,200,27,16.056000,
spin,health,1,21,200,27,1.342600,
spin,health,1,22,200,27,1.245600,
spin,health,1,23,200,27,1.324800,
spin,health,1,24,200,27,1.157400,
spin,health,1,25,200,27,1.170400,
spin,health,1,26,200,27,1.235800,
spin,health,1,27,200,27,22.829500,
spin,health,1,28,200,27,15.540500,
spin,health,1,29,200,27,15.972200,
spin,health,1,30,200,27,15.946800,
spin,health,1,31,200,27,2.448200,
spin,health,1,32,200,27,12.415300,
spin,health,1,33,200,27,15.317600,
spin,health,1,34,200,27,16.320300,
spin,health,1,35,200,27,3.037000,
spin,health,1,36,200,27,12.730500,
spin,health,1,37,200,27,2.704900,
spin,health,1,38,200,27,12.435500,
spin,health,1,39,200,27,2.406300,
spin,health,1,40,200,27,12.085600,
spin,health,1,41,200,27,15.521800,
spin,health,1,42,200,27,1.385400,
spin,health,1,43,200,27,14.861100,
spin,health,1,44,200,27,14.754000,
spin,health,1,45,200,27,15.758300,
spin,health,1,46,200,27,1.390800,
spin,health,1,47,200,27,2.725600,
spin,health,1,48,200,27,2.371300,
spin,health,1,49,200,27,1.286300,
spin,health,1,50,200,27,1.246300,
spin,health,1,51,200,27,21.543800,
spin,health,1,52,200,27,15.619300,
spin,health,1,53,200,27,15.923700,
spin,health,1,54,200,27,15.520600,
spin,health,1,55,200,27,15.348600,
spin,health,1,56,200,27,1.998000,
spin,health,1,57,200,27,1.987400,
spin,health,1,58,200,27,11.293200,
spin,health,1,59,200,27,15.727000,
spin,health,1,60,200,27,1.655200,
spin,health,1,61,200,27,13.634300,
spin,health,1,62,200,27,15.373600,
spin,health,1,63,200,27,15.431900,
spin,health,1,64,200,27,2.836400,
spin,health,1,65,200,27,2.731600,
spin,health,1,66,200,27,2.732500,
spin,health,1,67,200,27,2.654700,
spin,health,1,68,200,27,2.570500,
spin,health,1,69,200,27,18.631700,
spin,health,1,70,200,27,15.392200,
spin,health,1,71,200,27,14.741100,
spin,health,1,72,200,27,16.456900,
