service,scenario,concurrency,request_no,status,bytes,latency_ms,error
spin,image-grayscale,1,1,200,26277,54.428900,
spin,image-grayscale,1,2,200,26277,65.935900,
spin,image-grayscale,1,3,200,26277,85.161100,
spin,image-grayscale,1,4,200,26277,45.313400,
spin,image-grayscale,1,5,200,26277,44.908200,
spin,image-grayscale,1,6,200,26277,47.765100,
spin,image-grayscale,1,7,200,26277,61.184200,
spin,image-grayscale,1,8,200,26277,50.563900,
spin,image-grayscale,1,9,200,26277,41.037200,
spin,image-grayscale,1,10,200,26277,43.654100,
spin,image-grayscale,1,11,200,26277,69.271200,
spin,image-grayscale,1,12,200,26277,44.415000,
spin,image-grayscale,1,13,200,26277,58.365900,
spin,image-grayscale,1,14,200,26277,48.668100,
spin,image-grayscale,1,15,200,26277,54.939500,
spin,image-grayscale,1,16,200,26277,76.891900,
spin,image-grayscale,1,17,200,26277,63.762400,
spin,image-grayscale,1,18,200,26277,75.623700,
spin,image-grayscale,1,19,200,26277,40.979200,
spin,image-grayscale,1,20,200,26277,52.335500,
spin,image-grayscale,1,21,200,26277,55.686600,
spin,image-grayscale,1,22,200,26277,68.146000,
spin,image-grayscale,1,23,200,26277,69.433200,
spin,image-grayscale,1,24,200,26277,38.043200,
spin,image-grayscale,1,25,200,26277,65.972100,
spin,image-grayscale,1,26,200,26277,64.543400,
spin,image-grayscale,1,27,200,26277,75.234100,
spin,image-grayscale,1,28,200,26277,62.866900,
spin,image-grayscale,1,29,200,26277,63.240600,
spin,image-grayscale,1,30,200,26277,64.537100,
spin,image-grayscale,1,31,200,26277,31.508100,
spin,image-grayscale,1,32,200,26277,46.432500,
spin,image-grayscale,1,33,200,26277,71.134800,
spin,image-grayscale,1,34,200,26277,60.218800,
spin,image-grayscale,1,35,200,26277,58.371200,
spin,image-grayscale,1,36,200,26277,45.468400,
spin,image-grayscale,1,37,200,26277,63.706600,
spin,image-grayscale,1,38,200,26277,62.001000,
spin,image-grayscale,1,39,200,26277,69.629800,
spin,image-grayscale,1,40,200,26277,69.747400,
spin,image-grayscale,1,41,200,26277,51.120300,
spin,image-grayscale,1,42,200,26277,59.668200,
spin,image-grayscale,1,43,200,26277,50.846300,
