service,scenario,concurrency,request_no,status,bytes,latency_ms,error
spin,image-metadata,1,1,200,55,42.637600,
spin,image-metadata,1,2,200,55,57.709300,
spin,image-metadata,1,3,200,55,30.101600,
spin,image-metadata,1,4,200,55,27.797400,
spin,image-metadata,1,5,200,55,49.185900,
spin,image-metadata,1,6,200,55,31.289400,
spin,image-metadata,1,7,200,55,39.092200,
spin,image-metadata,1,8,200,55,18.785800,
spin,image-metadata,1,9,200,55,30.904800,
spin,image-metadata,1,10,200,55,44.602800,
spin,image-metadata,1,11,200,55,43.906700,
spin,image-metadata,1,12,200,55,36.035900,
spin,image-metadata,1,13,200,55,32.031400,
spin,image-metadata,1,14,200,55,17.579300,
spin,image-metadata,1,15,200,55,38.350000,
spin,image-metadata,1,16,200,55,52.658200,
spin,image-metadata,1,17,200,55,45.527400,
spin,image-metadata,1,18,200,55,41.342200,
spin,image-metadata,1,19,200,55,18.587700,
spin,image-metadata,1,20,200,55,15.864000,
spin,image-metadata,1,21,200,55,34.789700,
spin,image-metadata,1,22,200,55,42.113400,
spin,image-metadata,1,23,200,55,36.236500,
spin,image-metadata,1,24,200,55,41.936500,
spin,image-metadata,1,25,200,55,43.700400,
spin,image-metadata,1,26,200,55,48.238600,
spin,image-metadata,1,27,200,55,48.307800,
spin,image-metadata,1,28,200,55,48.427600,
spin,image-metadata,1,29,200,55,34.565700,
spin,image-metadata,1,30,200,55,30.526800,
spin,image-metadata,1,31,200,55,17.001000,
spin,image-metadata,1,32,200,55,40.698000,
spin,image-metadata,1,33,200,55,55.421700,
spin,image-metadata,1,34,200,55,27.306300,
spin,image-metadata,1,35,200,55,32.359200,
spin,image-metadata,1,36,200,55,25.988500,
spin,image-metadata,1,37,200,55,39.673400,
spin,image-metadata,1,38,200,55,48.836300,
spin,image-metadata,1,39,200,55,20.453400,
spin,image-metadata,1,40,200,55,34.191800,
spin,image-metadata,1,41,200,55,34.467000,
spin,image-metadata,1,42,200,55,35.848700,
spin,image-metadata,1,43,200,55,42.819800,
spin,image-metadata,1,44,200,55,58.113300,
spin,image-metadata,1,45,200,55,32.286200,
spin,image-metadata,1,46,200,55,25.042700,
spin,image-metadata,1,47,200,55,43.709100,
spin,image-metadata,1,48,200,55,47.214300,
spin,image-metadata,1,49,200,55,43.296200,
spin,image-metadata,1,50,200,55,50.256600,
spin,image-metadata,1,51,200,55,44.069900,
spin,image-metadata,1,52,200,55,49.300400,
spin,image-metadata,1,53,200,55,43.748500,
spin,image-metadata,1,54,200,55,41.268700,
spin,image-metadata,1,55,200,55,45.932200,
spin,image-metadata,1,56,200,55,30.840200,
spin,image-metadata,1,57,200,55,40.580800,
spin,image-metadata,1,58,200,55,48.391600,
spin,image-metadata,1,59,200,55,32.661500,
spin,image-metadata,1,60,200,55,53.975000,
spin,image-metadata,1,61,200,55,27.926300,
spin,image-metadata,1,62,200,55,41.498100,
spin,image-metadata,1,63,200,55,30.908700,
spin,image-metadata,1,64,200,55,31.624400,
spin,image-metadata,1,65,200,55,31.297800,
spin,image-metadata,1,66,200,55,54.746000,
spin,image-metadata,1,67,200,55,38.224600,
spin,image-metadata,1,68,200,55,45.041700,
spin,image-metadata,1,69,200,55,15.846500,
spin,image-metadata,1,70,200,55,43.483000,
spin,image-metadata,1,71,200,55,39.069700,
spin,image-metadata,1,72,200,55,34.500400,
spin,image-metadata,1,73,200,55,25.826400,
spin,image-metadata,1,74,200,55,32.860400,
spin,image-metadata,1,75,200,55,30.100600,
spin,image-metadata,1,76,200,55,43.439100,
spin,image-metadata,1,77,200,55,46.260500,
spin,image-metadata,1,78,200,55,37.199400,
spin,image-metadata,1,79,200,55,26.333400,
spin,image-metadata,1,80,200,55,49.730100,
spin,image-metadata,1,81,200,55,32.839200,
spin,image-metadata,1,82,200,55,40.934000,
spin,image-metadata,1,83,200,55,34.421800,
spin,image-metadata,1,84,200,55,35.940600,
spin,image-metadata,1,85,200,55,43.128200,
spin,image-metadata,1,86,200,55,43.031100,
spin,image-metadata,1,87,200,55,31.148200,
spin,image-metadata,1,88,200,55,34.360500,
spin,image-metadata,1,89,200,55,41.900000,
spin,image-metadata,1,90,200,55,41.247400,
spin,image-metadata,1,91,200,55,12.726900,
spin,image-metadata,1,92,200,55,54.086800,
spin,image-metadata,1,93,200,55,25.635600,
spin,image-metadata,1,94,200,55,12.807400,
spin,image-metadata,1,95,200,55,36.888500,
spin,image-metadata,1,96,200,55,40.893800,
spin,image-metadata,1,97,200,55,38.108300,
spin,image-metadata,1,98,200,55,32.536700,
spin,image-metadata,1,99,200,55,36.294500,
spin,image-metadata,1,100,200,55,23.363000,
spin,image-metadata,5,1,200,55,21.104300,
spin,image-metadata,5,2,200,55,23.168000,
spin,image-metadata,5,3,200,55,27.294100,
spin,image-metadata,5,4,200,55,38.732500,
spin,image-metadata,5,5,200,55,39.633200,
spin,image-metadata,5,6,200,55,39.022900,
spin,image-metadata,5,7,200,55,47.397000,
spin,image-metadata,5,8,200,55,41.443700,
spin,image-metadata,5,9,200,55,44.527100,
spin,image-metadata,5,10,200,55,45.477100,
spin,image-metadata,5,11,200,55,29.066500,
spin,image-metadata,5,12,200,55,14.694900,
spin,image-metadata,5,13,200,55,35.581800,
spin,image-metadata,5,14,200,55,38.003900,
spin,image-metadata,5,15,200,55,37.135400,
spin,image-metadata,5,16,200,55,41.165000,
spin,image-metadata,5,17,200,55,33.369400,
spin,image-metadata,5,18,200,55,36.847900,
spin,image-metadata,5,19,200,55,39.414200,
spin,image-metadata,5,20,200,55,35.789300,
spin,image-metadata,5,21,200,55,25.651900,
spin,image-metadata,5,22,200,55,38.822800,
spin,image-metadata,5,23,200,55,33.153900,
spin,image-metadata,5,24,200,55,46.751900,
spin,image-metadata,5,25,200,55,20.550700,
spin,image-metadata,5,26,200,55,33.773800,
spin,image-metadata,5,27,200,55,19.159800,
spin,image-metadata,5,28,200,55,20.840100,
spin,image-metadata,5,29,200,55,34.587800,
spin,image-metadata,5,30,200,55,18.263100,
spin,image-metadata,5,31,200,55,18.311400,
spin,image-metadata,5,32,200,55,22.933800,
spin,image-metadata,5,33,200,55,22.893900,
spin,image-metadata,5,34,200,55,26.954000,
spin,image-metadata,5,35,200,55,13.961900,
spin,image-metadata,5,36,200,55,25.403900,
spin,image-metadata,5,37,200,55,38.324900,
spin,image-metadata,5,38,200,55,46.026300,
spin,image-metadata,5,39,200,55,36.240800,
spin,image-metadata,5,40,200,55,14.046400,
spin,image-metadata,5,41,200,55,15.481500,
spin,image-metadata,5,42,200,55,33.008500,
spin,image-metadata,5,43,200,55,35.315800,
spin,image-metadata,5,44,200,55,24.207800,
spin,image-metadata,5,45,200,55,43.476900,
spin,image-metadata,5,46,200,55,41.646400,
spin,image-metadata,5,47,200,55,29.183900,
spin,image-metadata,5,48,200,55,35.347500,
spin,image-metadata,5,49,200,55,16.999200,
spin,image-metadata,5,50,200,55,29.713500,
spin,image-metadata,5,51,200,55,12.770000,
spin,image-metadata,5,52,200,55,35.257500,
spin,image-metadata,5,53,200,55,47.101600,
spin,image-metadata,5,54,200,55,38.256500,
spin,image-metadata,5,55,200,55,27.630300,
spin,image-metadata,5,56,200,55,33.456500,
spin,image-metadata,5,57,200,55,16.564300,
spin,image-metadata,5,58,200,55,13.709200,
spin,image-metadata,5,59,200,55,17.112200,
spin,image-metadata,5,60,200,55,16.130300,
spin,image-metadata,5,61,200,55,20.420700,
spin,image-metadata,5,62,200,55,26.664500,
spin,image-metadata,5,63,200,55,35.551200,
spin,image-metadata,5,64,200,55,45.235000,
spin,image-metadata,5,65,200,55,14.752300,
spin,image-metadata,5,66,200,55,25.345400,
spin,image-metadata,5,67,200,55,33.818200,
spin,image-metadata,5,68,200,55,37.873300,
spin,image-metadata,5,69,200,55,23.640400,
spin,image-metadata,5,70,200,55,37.809300,
spin,image-metadata,5,71,200,55,14.351600,
spin,image-metadata,5,72,200,55,28.629000,
spin,image-metadata,5,73,200,55,36.776400,
spin,image-metadata,5,74,200,55,47.752700,
spin,image-metadata,5,75,200,55,47.120500,
spin,image-metadata,5,76,200,55,38.532000,
spin,image-metadata,5,77,200,55,21.767000,
spin,image-metadata,5,78,200,55,40.887200,
spin,image-metadata,5,79,200,55,15.251600,
spin,image-metadata,5,80,200,55,34.835300,
spin,image-metadata,5,81,200,55,43.172400,
spin,image-metadata,5,82,200,55,42.391300,
spin,image-metadata,5,83,200,55,45.712800,
spin,image-metadata,5,84,200,55,45.742000,
spin,image-metadata,5,85,200,55,31.853400,
spin,image-metadata,5,86,200,55,18.491700,
spin,image-metadata,5,87,200,55,17.137200,
spin,image-metadata,5,88,200,55,13.087600,
spin,image-metadata,5,89,200,55,47.723100,
spin,image-metadata,5,90,200,55,32.979400,
spin,image-metadata,5,91,200,55,20.914900,
spin,image-metadata,5,92,200,55,20.646500,
spin,image-metadata,5,93,200,55,12.742800,
spin,image-metadata,5,94,200,55,19.946600,
spin,image-metadata,5,95,200,55,19.282600,
spin,image-metadata,5,96,200,55,13.103600,
spin,image-metadata,5,97,200,55,44.267200,
spin,image-metadata,5,98,200,55,45.615500,
spin,image-metadata,5,99,200,55,33.650800,
spin,image-metadata,5,100,200,55,32.640200,
spin,image-metadata,10,1,200,55,17.373800,
spin,image-metadata,10,2,200,55,21.463500,
spin,image-metadata,10,3,200,55,21.516300,
spin,image-metadata,10,4,200,55,23.696000,
spin,image-metadata,10,5,200,55,25.150200,
spin,image-metadata,10,6,200,55,23.925800,
spin,image-metadata,10,7,200,55,22.592100,
spin,image-metadata,10,8,200,55,23.447800,
