service,scenario,concurrency,request_no,status,bytes,latency_ms,error
spin,image-resize,1,1,200,22304,125.310300,
spin,image-resize,1,2,200,22304,143.486000,
spin,image-resize,1,3,200,22304,151.768100,
spin,image-resize,1,4,200,22304,153.221900,
spin,image-resize,1,5,200,22304,118.607900,
spin,image-resize,1,6,200,22304,114.830700,
spin,image-resize,1,7,200,22304,101.241700,
spin,image-resize,1,8,200,22304,118.564300,
spin,image-resize,1,9,200,22304,88.303000,
spin,image-resize,1,10,200,22304,110.312600,
spin,image-resize,1,11,200,22304,97.397800,
spin,image-resize,1,12,200,22304,89.906400,
spin,image-resize,1,13,200,22304,72.102200,
spin,image-resize,1,14,200,22304,120.617000,
spin,image-resize,1,15,200,22304,129.526500,
spin,image-resize,1,16,200,22304,109.166900,
spin,image-resize,1,17,200,22304,124.112200,
spin,image-resize,1,18,200,22304,103.947600,
spin,image-resize,1,19,200,22304,154.669600,
spin,image-resize,1,20,200,22304,111.411800,
spin,image-resize,1,21,200,22304,85.634900,
spin,image-resize,1,22,200,22304,103.102800,
spin,image-resize,1,23,200,22304,120.321500,
spin,image-resize,1,24,200,22304,117.995100,
spin,image-resize,1,25,200,22304,133.024600,
spin,image-resize,1,26,200,22304,118.668500,
spin,image-resize,1,27,200,22304,113.792700,
spin,image-resize,1,28,200,22304,108.064800,
spin,image-resize,1,29,200,22304,103.125600,
spin,image-resize,1,30,200,22304,105.315800,
spin,image-resize,1,31,200,22304,100.332300,
spin,image-resize,1,32,200,22304,127.903400,
spin,image-resize,1,33,200,22304,112.775700,
spin,image-resize,1,34,200,22304,126.013900,
spin,image-resize,1,35,200,22304,117.142400,
spin,image-resize,1,36,200,22304,104.897000,
spin,image-resize,1,37,200,22304,95.687600,
spin,image-resize,1,38,200,22304,137.483700,
spin,image-resize,1,39,200,22304,99.941900,
spin,image-resize,1,40,200,22304,122.365600,
spin,image-resize,1,41,200,22304,80.895300,
spin,image-resize,1,42,200,22304,108.145700,
spin,image-resize,1,43,200,22304,138.678000,
spin,image-resize,1,44,200,22304,84.759900,
spin,image-resize,1,45,200,22304,117.218800,
spin,image-resize,1,46,200,22304,115.795200,
spin,image-resize,1,47,200,22304,119.188500,
spin,image-resize,1,48,200,22304,93.845800,
spin,image-resize,1,49,200,22304,158.440700,
spin,image-resize,1,50,200,22304,181.418800,
spin,image-resize,1,51,200,22304,125.489000,
spin,image-resize,1,52,200,22304,130.687500,
spin,image-resize,1,53,200,22304,170.245600,
spin,image-resize,1,54,200,22304,92.025800,
spin,image-resize,1,55,200,22304,119.900600,
spin,image-resize,1,56,200,22304,87.561900,
spin,image-resize,1,57,200,22304,106.174900,
spin,image-resize,1,58,200,22304,103.939800,
spin,image-resize,1,59,200,22304,104.385100,
spin,image-resize,1,60,200,22304,102.254400,
spin,image-resize,1,61,200,22304,100.007000,
spin,image-resize,1,62,200,22304,137.005300,
spin,image-resize,1,63,200,22304,95.050500,
spin,image-resize,1,64,200,22304,133.295900,
spin,image-resize,1,65,200,22304,106.913100,
