service,scenario,concurrency,request_no,status,bytes,latency_ms,error
spin,json-to-csv,1,1,200,65,14.182700,
spin,json-to-csv,1,2,200,65,16.975300,
spin,json-to-csv,1,3,200,65,13.608000,
spin,json-to-csv,1,4,200,65,17.248300,
spin,json-to-csv,1,5,200,65,13.521900,
spin,json-to-csv,1,6,200,65,15.835900,
spin,json-to-csv,1,7,200,65,15.453300,
spin,json-to-csv,1,8,200,65,16.622200,
spin,json-to-csv,1,9,200,65,14.427000,
spin,json-to-csv,1,10,200,65,17.088900,
spin,json-to-csv,1,11,200,65,2.673600,
spin,json-to-csv,1,12,200,65,27.847100,
spin,json-to-csv,1,13,200,65,16.010900,
spin,json-to-csv,1,14,200,65,13.722600,
spin,json-to-csv,1,15,200,65,16.084800,
spin,json-to-csv,1,16,200,65,15.261700,
spin,json-to-csv,1,17,200,65,15.286700,
spin,json-to-csv,1,18,200,65,15.543700,
spin,json-to-csv,1,19,200,65,3.104600,
spin,json-to-csv,1,20,200,65,2.547400,
spin,json-to-csv,1,21,200,65,2.492800,
spin,json-to-csv,1,22,200,65,2.565600,
spin,json-to-csv,1,23,200,65,2.457500,
spin,json-to-csv,1,24,200,65,2.785900,
spin,json-to-csv,1,25,200,65,2.594800,
spin,json-to-csv,1,26,200,65,2.080100,
spin,json-to-csv,1,27,200,65,25.255900,
spin,json-to-csv,1,28,200,65,17.121600,
spin,json-to-csv,1,29,200,65,3.005600,
spin,json-to-csv,1,30,200,65,26.470700,
spin,json-to-csv,1,31,200,65,15.184300,
spin,json-to-csv,1,32,200,65,2.220500,
spin,json-to-csv,1,33,200,65,13.927700,
spin,json-to-csv,1,34,200,65,15.480800,
spin,json-to-csv,1,35,200,65,15.549500,
spin,json-to-csv,1,36,200,65,15.610900,
spin,json-to-csv,1,37,200,65,1.739400,
spin,json-to-csv,1,38,200,65,1.605800,
spin,json-to-csv,1,39,200,65,11.823300,
spin,json-to-csv,1,40,200,65,1.341500,
spin,json-to-csv,1,41,200,65,2.438900,
spin,json-to-csv,1,42,200,65,1.664300,
spin,json-to-csv,1,43,200,65,24.452500,
spin,json-to-csv,1,44,200,65,15.204900,
spin,json-to-csv,1,45,200,65,16.375500,
spin,json-to-csv,1,46,200,65,16.038200,
spin,json-to-csv,1,47,200,65,15.058500,
spin,json-to-csv,1,48,200,65,14.249400,
spin,json-to-csv,1,49,200,65,16.881900,
spin,json-to-csv,1,50,200,65,13.745000,
spin,json-to-csv,1,51,200,65,2.732700,
spin,json-to-csv,1,52,200,65,2.647200,
spin,json-to-csv,1,53,200,65,26.212800,
spin,json-to-csv,1,54,200,65,16.917700,
spin,json-to-csv,1,55,200,65,13.766300,
spin,json-to-csv,1,56,200,65,16.965000,
spin,json-to-csv,1,57,200,65,15.307500,
spin,json-to-csv,1,58,200,65,14.306900,
spin,json-to-csv,1,59,200,65,16.462600,
spin,json-to-csv,1,60,200,65,15.348100,
spin,json-to-csv,1,61,200,65,15.838500,
spin,json-to-csv,1,62,200,65,15.568700,
spin,json-to-csv,1,63,200,65,17.412600,
spin,json-to-csv,1,64,200,65,2.875700,
spin,json-to-csv,1,65,200,65,26.761100,
spin,json-to-csv,1,66,200,65,15.395300,
spin,json-to-csv,1,67,200,65,16.559300,
spin,json-to-csv,1,68,200,65,2.877000,
spin,json-to-csv,1,69,200,65,12.516000,
spin,json-to-csv,1,70,200,65,13.737300,
spin,json-to-csv,1,71,200,65,16.900500,
spin,json-to-csv,1,72,200,65,2.642600,
spin,json-to-csv,1,73,200,65,2.911400,
spin,json-to-csv,1,74,200,65,25.045800,
spin,json-to-csv,1,75,200,65,14.546300,
spin,json-to-csv,1,76,200,65,15.954300,
spin,json-to-csv,1,77,200,65,2.630600,
spin,json-to-csv,1,78,200,65,2.718000,
spin,json-to-csv,1,79,200,65,2.532800,
spin,json-to-csv,1,80,200,65,21.666000,
spin,json-to-csv,1,81,200,65,16.032600,
spin,json-to-csv,1,82,200,65,14.253600,
spin,json-to-csv,1,83,200,65,14.906700,
spin,json-to-csv,1,84,200,65,1.228800,
spin,json-to-csv,1,85,200,65,2.515800,
spin,json-to-csv,1,86,200,65,2.216700,
spin,json-to-csv,1,87,200,65,1.164300,
spin,json-to-csv,1,88,200,65,1.246200,
spin,json-to-csv,1,89,200,65,1.108100,
spin,json-to-csv,1,90,200,65,1.108000,
spin,json-to-csv,1,91,200,65,20.789300,
spin,json-to-csv,1,92,200,65,15.275200,
spin,json-to-csv,1,93,200,65,1.862400,
spin,json-to-csv,1,94,200,65,15.421000,
spin,json-to-csv,1,95,200,65,14.289500,
spin,json-to-csv,1,96,200,65,15.099000,
spin,json-to-csv,1,97,200,65,16.067800,
spin,json-to-csv,1,98,200,65,2.761100,
spin,json-to-csv,1,99,200,65,2.610200,
spin,json-to-csv,1,100,200,65,25.163800,
spin,json-to-csv,5,1,200,65,3.994000,
spin,json-to-csv,5,2,200,65,3.975100,
spin,json-to-csv,5,3,200,65,5.047700,
spin,json-to-csv,5,4,200,65,5.935100,
spin,json-to-csv,5,5,200,65,5.475300,
spin,json-to-csv,5,6,200,65,7.399700,
spin,json-to-csv,5,7,200,65,5.783800,
spin,json-to-csv,5,8,200,65,5.349600,
spin,json-to-csv,5,9,200,65,6.365300,
spin,json-to-csv,5,10,200,65,5.924400,
spin,json-to-csv,5,11,200,65,4.838800,
spin,json-to-csv,5,12,200,65,4.350400,
spin,json-to-csv,5,13,200,65,5.705300,
spin,json-to-csv,5,14,200,65,5.739000,
spin,json-to-csv,5,15,200,65,4.807800,
spin,json-to-csv,5,16,200,65,3.635300,
spin,json-to-csv,5,17,200,65,3.363100,
spin,json-to-csv,5,18,200,65,3.005100,
spin,json-to-csv,5,19,200,65,3.428700,
spin,json-to-csv,5,20,200,65,4.243700,
spin,json-to-csv,5,21,200,65,1.894200,
spin,json-to-csv,5,22,200,65,1.806000,
spin,json-to-csv,5,23,200,65,2.361300,
spin,json-to-csv,5,24,200,65,2.033700,
spin,json-to-csv,5,25,200,65,2.307800,
spin,json-to-csv,5,26,200,65,1.527400,
spin,json-to-csv,5,27,200,65,1.537200,
spin,json-to-csv,5,28,200,65,1.459400,
spin,json-to-csv,5,29,200,65,1.266900,
spin,json-to-csv,5,30,200,65,2.092400,
spin,json-to-csv,5,31,200,65,2.084900,
spin,json-to-csv,5,32,200,65,2.469300,
spin,json-to-csv,5,33,200,65,2.303400,
spin,json-to-csv,5,34,200,65,1.304400,
spin,json-to-csv,5,35,200,65,1.469900,
spin,json-to-csv,5,36,200,65,1.419500,
spin,json-to-csv,5,37,200,65,2.143300,
spin,json-to-csv,5,38,200,65,20.722800,
spin,json-to-csv,5,39,200,65,17.015000,
spin,json-to-csv,5,40,200,65,18.107800,
spin,json-to-csv,5,41,200,65,24.597400,
spin,json-to-csv,5,42,200,65,21.129900,
spin,json-to-csv,5,43,200,65,2.793300,
spin,json-to-csv,5,44,200,65,2.750800,
spin,json-to-csv,5,45,200,65,2.805400,
spin,json-to-csv,5,46,200,65,2.422000,
spin,json-to-csv,5,47,200,65,2.341700,
spin,json-to-csv,5,48,200,65,2.193200,
spin,json-to-csv,5,49,200,65,2.253100,
spin,json-to-csv,5,50,200,65,2.651700,
spin,json-to-csv,5,51,200,65,2.335300,
spin,json-to-csv,5,52,200,65,2.397800,
spin,json-to-csv,5,53,200,65,1.955500,
spin,json-to-csv,5,54,200,65,2.571500,
spin,json-to-csv,5,55,200,65,2.360600,
spin,json-to-csv,5,56,200,65,2.438200,
spin,json-to-csv,5,57,200,65,2.442800,
spin,json-to-csv,5,58,200,65,1.879400,
spin,json-to-csv,5,59,200,65,1.466100,
spin,json-to-csv,5,60,200,65,1.634500,
spin,json-to-csv,5,61,200,65,1.894400,
spin,json-to-csv,5,62,200,65,1.670000,
spin,json-to-csv,5,63,200,65,1.812300,
spin,json-to-csv,5,64,200,65,1.722000,
spin,json-to-csv,5,65,200,65,1.826800,
spin,json-to-csv,5,66,200,65,1.992100,
spin,json-to-csv,5,67,200,65,2.170300,
spin,json-to-csv,5,68,200,65,1.526400,
spin,json-to-csv,5,69,200,65,2.013700,
spin,json-to-csv,5,70,200,65,1.824100,
spin,json-to-csv,5,71,200,65,1.713600,
spin,json-to-csv,5,72,200,65,1.596500,
spin,json-to-csv,5,73,200,65,1.051200,
spin,json-to-csv,5,74,200,65,1.084500,
spin,json-to-csv,5,75,200,65,20.335900,
spin,json-to-csv,5,76,200,65,13.144300,
spin,json-to-csv,5,77,200,65,20.137200,
spin,json-to-csv,5,78,200,65,15.222500,
spin,json-to-csv,5,79,200,65,1.638800,
spin,json-to-csv,5,80,200,65,1.635400,
spin,json-to-csv,5,81,200,65,2.375700,
spin,json-to-csv,5,82,200,65,2.652800,
spin,json-to-csv,5,83,200,65,2.836200,
spin,json-to-csv,5,84,200,65,1.595000,
spin,json-to-csv,5,85,200,65,2.325500,
spin,json-to-csv,5,86,200,65,2.429500,
spin,json-to-csv,5,87,200,65,2.432700,
spin,json-to-csv,5,88,200,65,2.607100,
spin,json-to-csv,5,89,200,65,1.565700,
spin,json-to-csv,5,90,200,65,1.922700,
spin,json-to-csv,5,91,200,65,2.224800,
spin,json-to-csv,5,92,200,65,1.515300,
spin,json-to-csv,5,93,200,65,1.474700,
spin,json-to-csv,5,94,200,65,1.405800,
spin,json-to-csv,5,95,200,65,1.569700,
spin,json-to-csv,5,96,200,65,1.057500,
spin,json-to-csv,5,97,200,65,24.876100,
spin,json-to-csv,5,98,200,65,19.112100,
spin,json-to-csv,5,99,200,65,23.585000,
spin,json-to-csv,5,100,200,65,25.747500,
spin,json-to-csv,10,1,200,65,2.120800,
spin,json-to-csv,10,2,200,65,3.018400,
spin,json-to-csv,10,3,200,65,2.868300,
spin,json-to-csv,10,4,200,65,4.119600,
spin,json-to-csv,10,5,200,65,2.895800,
spin,json-to-csv,10,6,200,65,3.410500,
spin,json-to-csv,10,7,200,65,3.205800,
spin,json-to-csv,10,8,200,65,3.014700,
spin,json-to-csv,10,9,200,65,3.123000,
spin,json-to-csv,10,10,200,65,2.959900,
spin,json-to-csv,10,11,200,65,1.897200,
spin,json-to-csv,10,12,200,65,2.273100,
spin,json-to-csv,10,13,200,65,3.535800,
spin,json-to-csv,10,14,200,65,2.895000,
spin,json-to-csv,10,15,200,65,2.542500,
spin,json-to-csv,10,16,200,65,2.516200,
spin,json-to-csv,10,17,200,65,2.078600,
spin,json-to-csv,10,18,200,65,2.753500,
spin,json-to-csv,10,19,200,65,3.967700,
spin,json-to-csv,10,20,200,65,5.227000,
spin,json-to-csv,10,21,200,65,5.311700,
spin,json-to-csv,10,22,200,65,4.613600,
spin,json-to-csv,10,23,200,65,5.815100,
spin,json-to-csv,10,24,200,65,5.351700,
spin,json-to-csv,10,25,200,65,3.982200,
spin,json-to-csv,10,26,200,65,6.254100,
spin,json-to-csv,10,27,200,65,5.178100,
spin,json-to-csv,10,28,200,65,5.129900,
spin,json-to-csv,10,29,200,65,2.321200,
spin,json-to-csv,10,30,200,65,4.161000,
spin,json-to-csv,10,31,200,65,5.315500,
spin,json-to-csv,10,32,200,65,4.210600,
spin,json-to-csv,10,33,200,65,4.258800,
spin,json-to-csv,10,34,200,65,4.765600,
spin,json-to-csv,10,35,200,65,5.159000,
spin,json-to-csv,10,36,200,65,4.760200,
spin,json-to-csv,10,37,200,65,4.787000,
spin,json-to-csv,10,38,200,65,5.789800,
spin,json-to-csv,10,39,200,65,4.139400,
spin,json-to-csv,10,40,200,65,1.984300,
spin,json-to-csv,10,41,200,65,2.826900,
spin,json-to-csv,10,42,200,65,3.160000,
spin,json-to-csv,10,43,200,65,2.329600,
spin,json-to-csv,10,44,200,65,3.045800,
spin,json-to-csv,10,45,200,65,3.456100,
spin,json-to-csv,10,46,200,65,2.972600,
spin,json-to-csv,10,47,200,65,2.991200,
spin,json-to-csv,10,48,200,65,3.653300,
spin,json-to-csv,10,49,200,65,4.430800,
spin,json-to-csv,10,50,200,65,3.918200,
spin,json-to-csv,10,51,200,65,2.400700,
spin,json-to-csv,10,52,200,65,2.501200,
spin,json-to-csv,10,53,200,65,2.495600,
spin,json-to-csv,10,54,200,65,2.204500,
spin,json-to-csv,10,55,200,65,2.431000,
spin,json-to-csv,10,56,200,65,2.771200,
spin,json-to-csv,10,57,200,65,2.997500,
spin,json-to-csv,10,58,200,65,3.014500,
spin,json-to-csv,10,59,200,65,3.474200,
spin,json-to-csv,10,60,200,65,3.011000,
spin,json-to-csv,10,61,200,65,3.004600,
spin,json-to-csv,10,62,200,65,3.321600,
spin,json-to-csv,10,63,200,65,2.842500,
spin,json-to-csv,10,64,200,65,2.654700,
spin,json-to-csv,10,65,200,65,4.629600,
spin,json-to-csv,10,66,200,65,2.012400,
spin,json-to-csv,10,67,200,65,2.069700,
spin,json-to-csv,10,68,200,65,2.013800,
spin,json-to-csv,10,69,200,65,2.376500,
spin,json-to-csv,10,70,200,65,3.277100,
spin,json-to-csv,10,71,200,65,3.131200,
spin,json-to-csv,10,72,200,65,2.667400,
spin,json-to-csv,10,73,200,65,3.188500,
spin,json-to-csv,10,74,200,65,3.415400,
spin,json-to-csv,10,75,200,65,3.226400,
spin,json-to-csv,10,76,200,65,3.134300,
spin,json-to-csv,10,77,200,65,3.768600,
spin,json-to-csv,10,78,200,65,3.093100,
spin,json-to-csv,10,79,200,65,2.929000,
spin,json-to-csv,10,80,200,65,3.112600,
spin,json-to-csv,10,81,200,65,2.612800,
spin,json-to-csv,10,82,200,65,3.100500,
spin,json-to-csv,10,83,200,65,2.926800,
spin,json-to-csv,10,84,200,65,2.384300,
spin,json-to-csv,10,85,200,65,2.140700,
spin,json-to-csv,10,86,200,65,2.638900,
spin,json-to-csv,10,87,200,65,2.620700,
spin,json-to-csv,10,88,200,65,1.530000,
spin,json-to-csv,10,89,200,65,3.483400,
spin,json-to-csv,10,90,200,65,3.784400,
spin,json-to-csv,10,91,200,65,4.189700,
spin,json-to-csv,10,92,200,65,3.841500,
spin,json-to-csv,10,93,200,65,3.345300,
spin,json-to-csv,10,94,200,65,3.801400,
spin,json-to-csv,10,95,200,65,3.628500,
spin,json-to-csv,10,96,200,65,2.862600,
spin,json-to-csv,10,97,200,65,1.366900,
spin,json-to-csv,10,98,200,65,4.450600,
spin,json-to-csv,10,99,200,65,1.651900,
spin,json-to-csv,10,100,200,65,20.185100,
spin,json-to-csv,25,1,200,65,3.819600,
spin,json-to-csv,25,2,200,65,5.888300,
spin,json-to-csv,25,3,200,65,3.475700,
spin,json-to-csv,25,4,200,65,3.522900,
spin,json-to-csv,25,5,200,65,5.209700,
spin,json-to-csv,25,6,200,65,3.007200,
spin,json-to-csv,25,7,200,65,4.820600,
spin,json-to-csv,25,8,200,65,5.385100,
spin,json-to-csv,25,9,200,65,3.961400,
spin,json-to-csv,25,10,200,65,4.227100,
spin,json-to-csv,25,11,200,65,3.422200,
spin,json-to-csv,25,12,200,65,4.167400,
spin,json-to-csv,25,13,200,65,3.601200,
