service,scenario,concurrency,request_no,status,bytes,latency_ms,error
spin,validate-json,1,1,200,39,2.456900,
spin,validate-json,1,2,200,39,1.094000,
spin,validate-json,1,3,200,39,1.277600,
spin,validate-json,1,4,200,39,18.580200,
spin,validate-json,1,5,200,39,15.058900,
spin,validate-json,1,6,200,39,16.533600,
spin,validate-json,1,7,200,39,14.693500,
spin,validate-json,1,8,200,39,16.588000,
spin,validate-json,1,9,200,39,15.267600,
spin,validate-json,1,10,200,39,12.386200,
spin,validate-json,1,11,200,39,2.823700,
spin,validate-json,1,12,200,39,12.756300,
spin,validate-json,1,13,200,39,16.328900,
spin,validate-json,1,14,200,39,14.434800,
spin,validate-json,1,15,200,39,15.426000,
spin,validate-json,1,16,200,39,15.941200,
spin,validate-json,1,17,200,39,15.539100,
spin,validate-json,1,18,200,39,16.940600,
spin,validate-json,1,19,200,39,15.052100,
spin,validate-json,1,20,200,39,13.944500,
spin,validate-json,1,21,200,39,15.124000,
spin,validate-json,1,22,200,39,15.763800,
spin,validate-json,1,23,200,39,15.904100,
spin,validate-json,1,24,200,39,2.394400,
spin,validate-json,1,25,200,39,12.649000,
spin,validate-json,1,26,200,39,2.526800,
spin,validate-json,1,27,200,39,2.464200,
spin,validate-json,1,28,200,39,2.707500,
spin,validate-json,1,29,200,39,2.619100,
spin,validate-json,1,30,200,39,2.638700,
spin,validate-json,1,31,200,39,2.958900,
spin,validate-json,1,32,200,39,1.798200,
spin,validate-json,1,33,200,39,12.646400,
spin,validate-json,1,34,200,39,15.841800,
spin,validate-json,1,35,200,39,17.265200,
spin,validate-json,1,36,200,39,13.593400,
spin,validate-json,1,37,200,39,15.213900,
spin,validate-json,1,38,200,39,3.253000,
spin,validate-json,1,39,200,39,2.615800,
spin,validate-json,1,40,200,39,2.991600,
spin,validate-json,1,41,200,39,3.019900,
spin,validate-json,1,42,200,39,2.627500,
spin,validate-json,1,43,200,39,16.954100,
spin,validate-json,1,44,200,39,2.429800,
spin,validate-json,1,45,200,39,1.685100,
spin,validate-json,1,46,200,39,1.361600,
spin,validate-json,1,47,200,39,24.326900,
spin,validate-json,1,48,200,39,17.570900,
spin,validate-json,1,49,200,39,15.388600,
spin,validate-json,1,50,200,39,16.509400,
spin,validate-json,1,51,200,39,16.998500,
spin,validate-json,1,52,200,39,28.494700,
spin,validate-json,1,53,200,39,14.937000,
spin,validate-json,1,54,200,39,16.242000,
spin,validate-json,1,55,200,39,14.124100,
spin,validate-json,1,56,200,39,18.140400,
spin,validate-json,1,57,200,39,15.354600,
spin,validate-json,1,58,200,39,16.150500,
spin,validate-json,1,59,200,39,15.185000,
spin,validate-json,1,60,200,39,14.717900,
spin,validate-json,1,61,200,39,2.807700,
spin,validate-json,1,62,200,39,11.527700,
spin,validate-json,1,63,200,39,15.839200,
spin,validate-json,1,64,200,39,15.387700,
spin,validate-json,1,65,200,39,1.575600,
spin,validate-json,1,66,200,39,2.666800,
spin,validate-json,1,67,200,39,2.744600,
spin,validate-json,1,68,200,39,2.563900,
spin,validate-json,1,69,200,39,2.532900,
spin,validate-json,1,70,200,39,2.545200,
spin,validate-json,1,71,200,39,16.816900,
spin,validate-json,1,72,200,39,15.469200,
spin,validate-json,1,73,200,39,3.760900,
spin,validate-json,1,74,200,39,3.177500,
spin,validate-json,1,75,200,39,24.455500,
spin,validate-json,1,76,200,39,14.743300,
spin,validate-json,1,77,200,39,1.826800,
spin,validate-json,1,78,200,39,13.715700,
spin,validate-json,1,79,200,39,15.923200,
spin,validate-json,1,80,200,39,16.113500,
spin,validate-json,1,81,200,39,14.202900,
spin,validate-json,1,82,200,39,16.132000,
spin,validate-json,1,83,200,39,15.126000,
spin,validate-json,1,84,200,39,15.336100,
spin,validate-json,1,85,200,39,15.126400,
spin,validate-json,1,86,200,39,15.278200,
spin,validate-json,1,87,200,39,15.683000,
spin,validate-json,1,88,200,39,16.561100,
spin,validate-json,1,89,200,39,3.046000,
