service,scenario,concurrency,request_no,status,bytes,latency_ms,error
spin,validate-json-schema,1,1,200,35,14.986100,
spin,validate-json-schema,1,2,200,35,15.630200,
spin,validate-json-schema,1,3,200,35,2.811400,
spin,validate-json-schema,1,4,200,35,11.263800,
spin,validate-json-schema,1,5,200,35,15.508200,
spin,validate-json-schema,1,6,200,35,15.383900,
spin,validate-json-schema,1,7,200,35,16.620000,
spin,validate-json-schema,1,8,200,35,15.108600,
spin,validate-json-schema,1,9,200,35,15.230900,
spin,validate-json-schema,1,10,200,35,16.151300,
spin,validate-json-schema,1,11,200,35,15.704600,
spin,validate-json-schema,1,12,200,35,16.689800,
spin,validate-json-schema,1,13,200,35,14.389700,
spin,validate-json-schema,1,14,200,35,17.726900,
spin,validate-json-schema,1,15,200,35,14.355300,
spin,validate-json-schema,1,16,200,35,16.018100,
spin,validate-json-schema,1,17,200,35,15.793800,
spin,validate-json-schema,1,18,200,35,3.081700,
spin,validate-json-schema,1,19,200,35,2.827700,
spin,validate-json-schema,1,20,200,35,2.868100,
spin,validate-json-schema,1,21,200,35,21.665300,
spin,validate-json-schema,1,22,200,35,3.209600,
spin,validate-json-schema,1,23,200,35,2.947900,
spin,validate-json-schema,1,24,200,35,24.016900,
spin,validate-json-schema,1,25,200,35,16.871300,
spin,validate-json-schema,1,26,200,35,2.991700,
spin,validate-json-schema,1,27,200,35,2.805300,
spin,validate-json-schema,1,28,200,35,23.433500,
spin,validate-json-schema,1,29,200,35,15.584100,
spin,validate-json-schema,1,30,200,35,16.948800,
spin,validate-json-schema,1,31,200,35,15.326000,
spin,validate-json-schema,1,32,200,35,14.516400,
spin,validate-json-schema,1,33,200,35,17.167000,
spin,validate-json-schema,1,34,200,35,13.400900,
spin,validate-json-schema,1,35,200,35,16.864100,
spin,validate-json-schema,1,36,200,35,2.674100,
spin,validate-json-schema,1,37,200,35,11.308600,
spin,validate-json-schema,1,38,200,35,16.045100,
spin,validate-json-schema,1,39,200,35,2.517000,
spin,validate-json-schema,1,40,200,35,12.683700,
spin,validate-json-schema,1,41,200,35,2.590200,
spin,validate-json-schema,1,42,200,35,13.125000,
spin,validate-json-schema,1,43,200,35,2.179800,
spin,validate-json-schema,1,44,200,35,2.513900,
spin,validate-json-schema,1,45,200,35,25.526700,
spin,validate-json-schema,1,46,200,35,17.556700,
spin,validate-json-schema,1,47,200,35,13.122200,
spin,validate-json-schema,1,48,200,35,17.274900,
spin,validate-json-schema,1,49,200,35,14.416900,
spin,validate-json-schema,1,50,200,35,16.260700,
spin,validate-json-schema,1,51,200,35,3.455600,
spin,validate-json-schema,1,52,200,35,10.861100,
spin,validate-json-schema,1,53,200,35,2.778700,
spin,validate-json-schema,1,54,200,35,12.397500,
spin,validate-json-schema,1,55,200,35,15.229400,
spin,validate-json-schema,1,56,200,35,16.973500,
spin,validate-json-schema,1,57,200,35,15.507400,
spin,validate-json-schema,1,58,200,35,2.898100,
spin,validate-json-schema,1,59,200,35,2.495600,
spin,validate-json-schema,1,60,200,35,24.755100,
spin,validate-json-schema,1,61,200,35,16.684200,
spin,validate-json-schema,1,62,200,35,15.581100,
spin,validate-json-schema,1,63,200,35,2.450700,
spin,validate-json-schema,1,64,200,35,2.373200,
spin,validate-json-schema,1,65,200,35,2.580100,
spin,validate-json-schema,1,66,200,35,2.470500,
spin,validate-json-schema,1,67,200,35,2.355400,
spin,validate-json-schema,1,68,200,35,17.014400,
spin,validate-json-schema,1,69,200,35,2.438700,
spin,validate-json-schema,1,70,200,35,2.602200,
spin,validate-json-schema,1,71,200,35,27.373100,
spin,validate-json-schema,1,72,200,35,3.013100,
spin,validate-json-schema,1,73,200,35,27.509500,
spin,validate-json-schema,1,74,200,35,14.737300,
spin,validate-json-schema,1,75,200,35,15.533900,
spin,validate-json-schema,1,76,200,35,15.167600,
spin,validate-json-schema,1,77,200,35,1.971400,
spin,validate-json-schema,1,78,200,35,13.757200,
spin,validate-json-schema,1,79,200,35,15.529900,
spin,validate-json-schema,1,80,200,35,16.958500,
spin,validate-json-schema,1,81,200,35,16.871000,
spin,validate-json-schema,1,82,200,35,14.368400,
spin,validate-json-schema,1,83,200,35,15.092600,
spin,validate-json-schema,1,84,200,35,15.320700,
spin,validate-json-schema,1,85,200,35,17.536900,
spin,validate-json-schema,1,86,200,35,2.093200,
spin,validate-json-schema,1,87,200,35,1.455800,
spin,validate-json-schema,1,88,200,35,26.398200,
spin,validate-json-schema,1,89,200,35,14.522000,
spin,validate-json-schema,1,90,200,35,16.424400,
spin,validate-json-schema,1,91,200,35,14.047500,
spin,validate-json-schema,1,92,200,35,2.641200,
spin,validate-json-schema,1,93,200,35,2.687500,
spin,validate-json-schema,1,94,200,35,2.236300,
spin,validate-json-schema,1,95,200,35,2.589900,
spin,validate-json-schema,1,96,200,35,2.393000,
spin,validate-json-schema,1,97,200,35,3.473600,
spin,validate-json-schema,1,98,200,35,14.851200,
spin,validate-json-schema,1,99,200,35,15.815800,
spin,validate-json-schema,1,100,200,35,16.574300,
spin,validate-json-schema,5,1,200,35,4.162000,
spin,validate-json-schema,5,2,200,35,4.428700,
spin,validate-json-schema,5,3,200,35,4.570000,
spin,validate-json-schema,5,4,200,35,1.809200,
spin,validate-json-schema,5,5,200,35,6.776000,
spin,validate-json-schema,5,6,200,35,5.461200,
spin,validate-json-schema,5,7,200,35,4.445000,
spin,validate-json-schema,5,8,200,35,4.801700,
spin,validate-json-schema,5,9,200,35,6.537400,
spin,validate-json-schema,5,10,200,35,4.985800,
spin,validate-json-schema,5,11,200,35,1.406700,
spin,validate-json-schema,5,12,200,35,1.892700,
spin,validate-json-schema,5,13,200,35,1.261500,
spin,validate-json-schema,5,14,200,35,2.702400,
spin,validate-json-schema,5,15,200,35,1.441500,
spin,validate-json-schema,5,16,200,35,1.844400,
spin,validate-json-schema,5,17,200,35,1.723700,
spin,validate-json-schema,5,18,200,35,1.728300,
spin,validate-json-schema,5,19,200,35,1.922600,
spin,validate-json-schema,5,20,200,35,1.309400,
spin,validate-json-schema,5,21,200,35,15.694900,
spin,validate-json-schema,5,22,200,35,23.585500,
spin,validate-json-schema,5,23,200,35,1.467100,
spin,validate-json-schema,5,24,200,35,1.211900,
spin,validate-json-schema,5,25,200,35,1.050100,
spin,validate-json-schema,5,26,200,35,0.990500,
spin,validate-json-schema,5,27,200,35,0.981800,
spin,validate-json-schema,5,28,200,35,0.966900,
spin,validate-json-schema,5,29,200,35,0.964700,
spin,validate-json-schema,5,30,200,35,0.940700,
spin,validate-json-schema,5,31,200,35,1.069900,
spin,validate-json-schema,5,32,200,35,1.008400,
spin,validate-json-schema,5,33,200,35,0.980200,
spin,validate-json-schema,5,34,200,35,0.970500,
spin,validate-json-schema,5,35,200,35,0.963500,
spin,validate-json-schema,5,36,200,35,0.946100,
spin,validate-json-schema,5,37,200,35,26.176400,
spin,validate-json-schema,5,38,200,35,25.250600,
spin,validate-json-schema,5,39,200,35,27.869200,
spin,validate-json-schema,5,40,200,35,17.132300,
spin,validate-json-schema,5,41,200,35,3.001900,
spin,validate-json-schema,5,42,200,35,2.438600,
