system,query,concurrency,request_rate,samples,success_count,error_count,min,mean,median,p50,p95,p99,max
oci,,10,3314.933,99448,99448,0,0.850,3.005,2.650,2.650,5.438,8.794,26.114
oci,,50,2931.067,87932,87932,0,1.000,13.670,13.623,13.623,26.825,37.478,396.420
oci,,100,2934.600,88038,88038,0,1.178,23.050,23.624,23.624,52.310,80.065,279.486
oci,,200,2898.967,86969,86969,0,1.174,38.433,34.369,34.369,95.652,128.732,220.966
oci,space,10,54.000,1620,1620,0,24.190,186.931,179.334,179.333,210.841,225.868,812.547
oci,space,50,46.200,1386,1386,0,43.858,1100.464,922.227,922.186,2164.948,2478.497,2741.962
oci,space,100,58.033,1741,1741,0,24.760,1774.719,1810.629,1810.629,1899.599,1943.082,1947.087
oci,space,200,61.500,1845,1845,0,24.034,3442.692,3619.899,3619.899,3747.493,3766.818,3768.897
spin,,10,132.767,3983,3983,0,50.693,75.372,72.308,72.308,100.010,116.458,184.363
spin,,50,129.067,3872,3872,0,56.941,389.663,381.836,381.770,643.464,753.526,908.581
spin,,100,123.000,3690,3690,0,69.630,822.862,811.785,811.570,1516.063,1792.354,2321.813
spin,,200,123.333,3700,3700,0,85.326,1654.694,1347.677,1347.383,3636.018,4812.126,6145.163
spin,space,10,77.233,2317,2317,0,72.057,129.778,126.308,126.308,168.290,198.468,300.702
spin,space,50,70.300,2109,2109,0,119.323,718.409,683.468,683.468,1264.588,1670.535,2172.198
spin,space,100,74.467,2234,2234,0,143.777,1368.015,1313.086,1311.211,2491.228,2799.585,3511.584
spin,space,200,78.333,2350,2350,0,136.502,2658.198,2148.361,2147.612,6073.307,8010.828,10952.728
