system,scenario,iteration,success,ready_ms,first_search_ms,error
spin,health_plus_search,1,true,152.354,214.773,
spin,health_plus_search,2,true,140.513,203.032,
spin,health_plus_search,3,true,134.266,198.381,
spin,health_plus_search,4,true,132.154,195.613,
spin,health_plus_search,5,true,141.830,206.541,
spin,health_plus_search,6,true,141.484,209.110,
spin,health_plus_search,7,true,142.943,218.947,
spin,health_plus_search,8,true,141.991,208.028,
spin,health_plus_search,9,true,140.978,206.352,
spin,health_plus_search,10,true,138.377,203.958,
spin,health_plus_search,11,true,141.769,207.785,
spin,health_plus_search,12,true,138.031,202.394,
spin,health_plus_search,13,true,138.544,202.401,
spin,health_plus_search,14,true,137.826,201.122,
spin,health_plus_search,15,true,142.729,205.854,
spin,health_plus_search,16,true,144.220,217.504,
spin,health_plus_search,17,true,142.858,208.361,
spin,health_plus_search,18,true,141.929,205.445,
spin,health_plus_search,19,true,137.281,201.437,
spin,health_plus_search,20,true,141.230,204.383,
oci,health_plus_search,1,true,20.907,376.983,
oci,health_plus_search,2,true,20.245,294.274,
oci,health_plus_search,3,true,22.222,298.584,
oci,health_plus_search,4,true,21.056,313.245,
oci,health_plus_search,5,true,23.058,329.360,
oci,health_plus_search,6,true,21.825,302.265,
oci,health_plus_search,7,true,19.632,314.278,
oci,health_plus_search,8,true,23.811,336.506,
oci,health_plus_search,9,true,19.122,297.709,
oci,health_plus_search,10,true,18.263,295.076,
oci,health_plus_search,11,true,19.082,297.805,
oci,health_plus_search,12,true,22.940,446.288,
oci,health_plus_search,13,true,36.325,376.288,
oci,health_plus_search,14,true,19.276,288.905,
oci,health_plus_search,15,true,23.072,336.334,
oci,health_plus_search,16,true,20.672,301.800,
oci,health_plus_search,17,true,20.665,286.068,
oci,health_plus_search,18,true,18.852,294.275,
oci,health_plus_search,19,true,22.884,339.656,
oci,health_plus_search,20,true,28.420,374.193,
