system,scenario,iteration,success,ready_ms,search_after_ready_ms,total_cold_path_ms,first_search_ms,error
spin,health_plus_search,1,true,419.120,333.715,754.614,754.614,
spin,health_plus_search,2,true,202.689,221.045,425.761,425.761,
spin,health_plus_search,3,true,142.275,256.053,400.016,400.016,
spin,health_plus_search,4,true,146.178,236.986,384.849,384.849,
spin,health_plus_search,5,true,141.394,222.210,365.328,365.328,
spin,health_plus_search,6,true,146.878,221.564,370.109,370.109,
spin,health_plus_search,7,true,140.723,226.267,368.673,368.673,
spin,health_plus_search,8,true,142.800,219.265,363.771,363.771,
spin,health_plus_search,9,true,143.989,264.886,410.536,410.536,
spin,health_plus_search,10,true,146.272,224.751,373.025,373.025,
spin,health_plus_search,11,true,145.818,221.670,369.154,369.154,
spin,health_plus_search,12,true,145.398,220.262,367.312,367.312,
spin,health_plus_search,13,true,141.439,221.740,364.865,364.865,
spin,health_plus_search,14,true,146.214,230.977,378.857,378.857,
spin,health_plus_search,15,true,202.495,242.164,446.347,446.347,
spin,health_plus_search,16,true,144.692,220.430,366.873,366.873,
spin,health_plus_search,17,true,144.913,222.889,369.384,369.384,
spin,health_plus_search,18,true,146.069,220.530,368.244,368.244,
spin,health_plus_search,19,true,144.818,226.149,372.497,372.497,
spin,health_plus_search,20,true,148.311,219.989,369.908,369.908,
oci,health_plus_search,1,true,29.021,145.499,628.125,628.125,
oci,health_plus_search,2,true,24.615,146.662,429.289,429.289,
oci,health_plus_search,3,true,20.777,142.541,414.639,414.639,
oci,health_plus_search,4,true,20.220,415.644,685.175,685.175,
oci,health_plus_search,5,true,23.460,142.407,466.338,466.338,
oci,health_plus_search,6,true,20.118,142.653,416.373,416.373,
oci,health_plus_search,7,true,19.930,142.807,425.274,425.274,
oci,health_plus_search,8,true,20.967,143.802,406.647,406.647,
oci,health_plus_search,9,true,38.700,150.796,682.387,682.387,
oci,health_plus_search,10,true,21.236,147.623,440.971,440.971,
oci,health_plus_search,11,true,20.248,142.874,434.253,434.253,
oci,health_plus_search,12,true,22.211,157.518,456.186,456.186,
oci,health_plus_search,13,true,22.609,142.893,427.922,427.922,
oci,health_plus_search,14,true,59.256,187.292,1126.991,1126.991,
oci,health_plus_search,15,true,19.845,144.572,402.888,402.888,
oci,health_plus_search,16,true,21.768,148.784,416.598,416.598,
oci,health_plus_search,17,true,20.425,143.198,435.776,435.776,
oci,health_plus_search,18,true,33.750,216.756,854.839,854.839,
oci,health_plus_search,19,true,19.523,143.831,411.298,411.298,
oci,health_plus_search,20,true,20.146,142.956,407.786,407.786,
