run_id,repeat,system,query,concurrency,request_id,success,status,latency_ms,error
20260527-205309,1,spin,space,10,6,true,200,133.761,
20260527-205309,1,spin,space,10,2,true,200,134.946,
20260527-205309,1,spin,space,10,10,true,200,137.423,
20260527-205309,1,spin,space,10,7,true,200,145.070,
20260527-205309,1,spin,space,10,1,true,200,146.463,
20260527-205309,1,spin,space,10,9,true,200,147.492,
20260527-205309,1,spin,space,10,8,true,200,159.208,
20260527-205309,1,spin,space,10,5,true,200,160.250,
20260527-205309,1,spin,space,10,4,true,200,160.540,
20260527-205309,1,spin,space,10,3,true,200,160.846,
20260527-205309,1,spin,space,10,14,true,200,102.714,
20260527-205309,1,spin,space,10,12,true,200,113.936,
20260527-205309,1,spin,space,10,11,true,200,118.991,
20260527-205309,1,spin,space,10,15,true,200,107.423,
20260527-205309,1,spin,space,10,19,true,200,93.123,
20260527-205309,1,spin,space,10,16,true,200,110.774,
20260527-205309,1,spin,space,10,20,true,200,100.208,
20260527-205309,1,spin,space,10,18,true,200,113.658,
20260527-205309,1,spin,space,10,13,true,200,137.453,
20260527-205309,1,spin,space,10,17,true,200,118.542,
20260527-205309,1,spin,space,10,25,true,200,104.397,
20260527-205309,1,spin,space,10,28,true,200,88.495,
20260527-205309,1,spin,space,10,22,true,200,115.244,
20260527-205309,1,spin,space,10,21,true,200,115.846,
20260527-205309,1,spin,space,10,23,true,200,113.019,
20260527-205309,1,spin,space,10,30,true,200,98.355,
20260527-205309,1,spin,space,10,26,true,200,122.314,
20260527-205309,1,spin,space,10,29,true,200,109.471,
20260527-205309,1,spin,space,10,27,true,200,126.096,
20260527-205309,1,spin,space,10,24,true,200,137.206,
20260527-205309,1,spin,space,10,34,true,200,104.894,
20260527-205309,1,spin,space,10,33,true,200,105.522,
20260527-205309,1,spin,space,10,31,true,200,116.494,
20260527-205309,1,spin,space,10,35,true,200,112.547,
20260527-205309,1,spin,space,10,32,true,200,118.441,
20260527-205309,1,spin,space,10,38,true,200,95.958,
20260527-205309,1,spin,space,10,40,true,200,92.118,
20260527-205309,1,spin,space,10,36,true,200,107.974,
20260527-205309,1,spin,space,10,39,true,200,98.252,
20260527-205309,1,spin,space,10,37,true,200,131.087,
20260527-205309,1,spin,space,10,45,true,200,95.501,
20260527-205309,1,spin,space,10,42,true,200,107.352,
20260527-205309,1,spin,space,10,41,true,200,112.814,
20260527-205309,1,spin,space,10,43,true,200,109.306,
20260527-205309,1,spin,space,10,44,true,200,105.909,
20260527-205309,1,spin,space,10,47,true,200,111.286,
20260527-205309,1,spin,space,10,49,true,200,110.554,
20260527-205309,1,spin,space,10,48,true,200,115.149,
20260527-205309,1,spin,space,10,46,true,200,119.096,
20260527-205309,1,spin,space,10,50,true,200,123.968,
20260527-205309,1,spin,space,10,53,true,200,97.997,
20260527-205309,1,spin,space,10,55,true,200,101.358,
20260527-205309,1,spin,space,10,56,true,200,101.971,
20260527-205309,1,spin,space,10,51,true,200,121.236,
20260527-205309,1,spin,space,10,54,true,200,119.323,
20260527-205309,1,spin,space,10,57,true,200,113.272,
20260527-205309,1,spin,space,10,59,true,200,109.841,
20260527-205309,1,spin,space,10,52,true,200,137.034,
20260527-205309,1,spin,space,10,58,true,200,118.415,
20260527-205309,1,spin,space,10,60,true,200,112.605,
20260527-205309,1,spin,space,10,61,true,200,104.098,
20260527-205309,1,spin,space,10,62,true,200,100.452,
20260527-205309,1,spin,space,10,66,true,200,94.141,
20260527-205309,1,spin,space,10,64,true,200,107.862,
20260527-205309,1,spin,space,10,63,true,200,110.044,
20260527-205309,1,spin,space,10,65,true,200,106.409,
20260527-205309,1,spin,space,10,69,true,200,93.749,
20260527-205309,1,spin,space,10,68,true,200,106.612,
20260527-205309,1,spin,space,10,67,true,200,111.942,
20260527-205309,1,spin,space,10,70,true,200,116.353,
20260527-205309,1,spin,space,10,71,true,200,126.741,
20260527-205309,1,spin,space,10,74,true,200,121.680,
20260527-205309,1,spin,space,10,72,true,200,146.812,
20260527-205309,1,spin,space,10,76,true,200,124.282,
20260527-205309,1,spin,space,10,77,true,200,131.102,
20260527-205309,1,spin,space,10,75,true,200,137.642,
20260527-205309,1,spin,space,10,79,true,200,156.748,
20260527-205309,1,spin,space,10,73,true,200,181.565,
20260527-205309,1,spin,space,10,80,true,200,139.456,
20260527-205309,1,spin,space,10,78,true,200,223.752,
20260527-205309,1,spin,space,10,81,true,200,153.274,
20260527-205309,1,spin,space,10,82,true,200,148.817,
20260527-205309,1,spin,space,10,84,true,200,157.668,
20260527-205309,1,spin,space,10,86,true,200,150.524,
20260527-205309,1,spin,space,10,85,true,200,153.020,
20260527-205309,1,spin,space,10,83,true,200,166.706,
20260527-205309,1,spin,space,10,88,true,200,146.756,
20260527-205309,1,spin,space,10,87,true,200,164.281,
20260527-205309,1,spin,space,10,89,true,200,150.446,
20260527-205309,1,spin,space,10,91,true,200,164.352,
20260527-205309,1,spin,space,10,90,true,200,185.726,
20260527-205309,1,spin,space,10,92,true,200,167.628,
20260527-205309,1,spin,space,10,93,true,200,163.265,
20260527-205309,1,spin,space,10,95,true,200,160.691,
20260527-205309,1,spin,space,10,94,true,200,163.853,
20260527-205309,1,spin,space,10,96,true,200,173.919,
20260527-205309,1,spin,space,10,97,true,200,163.141,
20260527-205309,1,spin,space,10,99,true,200,155.241,
20260527-205309,1,spin,space,10,98,true,200,181.153,
20260527-205309,1,spin,space,10,101,true,200,123.000,
20260527-205309,1,spin,space,10,105,true,200,107.303,
20260527-205309,1,spin,space,10,100,true,200,139.562,
20260527-205309,1,spin,space,10,104,true,200,121.543,
20260527-205309,1,spin,space,10,103,true,200,124.492,
20260527-205309,1,spin,space,10,102,true,200,139.450,
